"Time (s)","X (hPa)"
-5.468122083E-1,1.017694626E3
4.553137916E-1,1.017699127E3
1.457404792E0,1.017703552E3
2.459553792E0,1.017725296E3
3.461642792E0,1.017725296E3
3.817279792E0,1.017715836E3
4.886179792E0,1.017708588E3
5.955096792E0,1.017698441E3
7.023965792E0,1.017677155E3
8.092861792E0,1.017664337E3
9.161727792E0,1.017662888E3
1.023063279E1,1.017659912E3
1.129950779E1,1.017658234E3
1.236840679E1,1.017649384E3
1.343730379E1,1.017640533E3
1.450620279E1,1.017634811E3
1.557505679E1,1.017634659E3
1.664389979E1,1.017631226E3
1.771280579E1,1.017631226E3
1.878169879E1,1.017644043E3
1.985057879E1,1.017644043E3
2.091952079E1,1.017632675E3
2.198844879E1,1.017632675E3
2.305743679E1,1.017638168E3
2.412635979E1,1.017638168E3
2.519530879E1,1.017638168E3
2.626422179E1,1.017643738E3
2.733316779E1,1.017645569E3
2.840214979E1,1.017651215E3
2.947109779E1,1.017651215E3
3.054002679E1,1.017648315E3
3.160896279E1,1.017638397E3
3.267784979E1,1.017630234E3
3.374676879E1,1.017615280E3
3.481569479E1,1.017611542E3
3.588459479E1,1.017607880E3
3.695348779E1,1.017606277E3
3.802243079E1,1.017606277E3
3.909135679E1,1.017614441E3
4.016030679E1,1.017629318E3
4.122923579E1,1.017636261E3
4.229817579E1,1.017653122E3
4.336712179E1,1.017653122E3
4.443602079E1,1.017653122E3
4.550491379E1,1.017635040E3
4.657380379E1,1.017622604E3
4.764266579E1,1.017605743E3
4.871151979E1,1.017605209E3
4.978045979E1,1.017590408E3
5.084943079E1,1.017588272E3
5.191835979E1,1.017576294E3
5.298726579E1,1.017569733E3
5.405619579E1,1.017561188E3
5.512512279E1,1.017558212E3
5.619406479E1,1.017561188E3
5.726298579E1,1.017581100E3
5.833190379E1,1.017590408E3
5.940082779E1,1.017602692E3
6.046975279E1,1.017605972E3
6.153867579E1,1.017617340E3
6.260766979E1,1.017623749E3
6.367664679E1,1.017646484E3
6.474565679E1,1.017672043E3
6.581459779E1,1.017710571E3
6.688354579E1,1.017746277E3
6.795246879E1,1.017772141E3
6.902135479E1,1.017783203E3
7.009030279E1,1.017797546E3
7.115924479E1,1.017802811E3
7.222817379E1,1.017802811E3
7.329704279E1,1.017801361E3
7.436596079E1,1.017801056E3
7.543488579E1,1.017792587E3
7.650386279E1,1.017774887E3
7.757284979E1,1.017756348E3
7.864183079E1,1.017736969E3
7.971079179E1,1.017717819E3
8.077973179E1,1.017701416E3
8.184871279E1,1.017691879E3
8.291763379E1,1.017684937E3
8.398655279E1,1.017683487E3
8.505547779E1,1.017670822E3
8.612446679E1,1.017651901E3
8.719344279E1,1.017637405E3
8.826240579E1,1.017616806E3
8.933136679E1,1.017602234E3
9.040037379E1,1.017602234E3
9.146934879E1,1.017605591E3
9.253827979E1,1.017612152E3
9.360723179E1,1.017629318E3
9.467617579E1,1.017643204E3
9.574516079E1,1.017652893E3
9.681412379E1,1.017652893E3
9.788308279E1,1.017646484E3
9.895204879E1,1.017630234E3
1.000209738E2,1.017614594E3
1.010899168E2,1.017602234E3
1.021588608E2,1.017593384E3
1.032278038E2,1.017583847E3
1.042967708E2,1.017577820E3
1.053657158E2,1.017570648E3
1.064347088E2,1.017561569E3
1.075036488E2,1.017554245E3
1.085726168E2,1.017552261E3
1.096416098E2,1.017552261E3
1.107105238E2,1.017553177E3
1.117794158E2,1.017553406E3
1.128482538E2,1.017555923E3
1.139171118E2,1.017560501E3
1.149860068E2,1.017564468E3
1.160548968E2,1.017567673E3
1.171237618E2,1.017571487E3
1.181926498E2,1.017575836E3
1.192615348E2,1.017579880E3
1.203304278E2,1.017583237E3
1.213992868E2,1.017588577E3
1.224682068E2,1.017589569E3
1.235371568E2,1.017589569E3
1.246060968E2,1.017585526E3
1.256750398E2,1.017581329E3
1.267439558E2,1.017578812E3
1.278128768E2,1.017577972E3
1.288817918E2,1.017577972E3
1.299506818E2,1.017576981E3
1.310195428E2,1.017576370E3
1.320884178E2,1.017574997E3
1.331573178E2,1.017571945E3
1.342261958E2,1.017569351E3
1.352950668E2,1.017563934E3
1.363639588E2,1.017556915E3
1.374328378E2,1.017548370E3
1.385017278E2,1.017539291E3
1.395706478E2,1.017532349E3
1.406395668E2,1.017531281E3
1.417084728E2,1.017531281E3
1.427774018E2,1.017534027E3
1.438462778E2,1.017535629E3
1.449151318E2,1.017537155E3
1.459840728E2,1.017543869E3
1.470529248E2,1.017550659E3
1.481217608E2,1.017552795E3
1.491906378E2,1.017552795E3
1.502594778E2,1.017551956E3
1.513283228E2,1.017548752E3
1.523971978E2,1.017548752E3
1.534660508E2,1.017555084E3
1.545349268E2,1.017562027E3
1.556038068E2,1.017577972E3
1.566726548E2,1.017591705E3
1.577415158E2,1.017598419E3
1.588104118E2,1.017606201E3
1.598792548E2,1.017612152E3
1.609481398E2,1.017614822E3
1.620170168E2,1.017617950E3
1.630858188E2,1.017617950E3
1.641546238E2,1.017606659E3
1.652234198E2,1.017603455E3
1.662922288E2,1.017600708E3
1.673610648E2,1.017600708E3
1.684299178E2,1.017608490E3
1.694987798E2,1.017615662E3
1.705676598E2,1.017619705E3
1.716365278E2,1.017619705E3
1.727053898E2,1.017611694E3
1.737742518E2,1.017595444E3
1.748430958E2,1.017575226E3
1.759119468E2,1.017559967E3
1.769808118E2,1.017549133E3
