"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.500145835E-2,9.874262214E-1,-9.337971807E-1,-7.787389755E-1
2.497745835E-2,8.566865325E-1,-1.384395242E0,4.780394733E-1
3.495345835E-2,1.060571432E0,-1.435320735E0,9.193890095E-1
4.492945835E-2,8.293969631E-1,-8.089900017E-1,8.596971631E-1
5.490545835E-2,4.038945735E-1,-2.005256861E-1,9.183144569E-1
6.488145835E-2,2.460057382E-3,3.108997941E-1,9.632992148E-1
7.485745836E-2,-2.211121172E-1,3.462453485E-1,9.585663080E-1
8.483245835E-2,-1.715525985E-2,3.349977434E-1,6.803416014E-1
9.480845835E-2,4.650545865E-2,-1.437764764E-1,1.194179207E-1
1.047844584E-1,1.871728301E-1,-5.083006620E-1,-2.103789002E-1
1.147604584E-1,3.507730663E-1,-7.544174790E-1,-1.376667470E-1
1.247364584E-1,5.458112359E-1,-7.258007526E-1,-2.482566386E-1
1.347124584E-1,5.501580834E-1,-8.558486700E-1,-4.584566951E-1
1.446884584E-1,5.124815702E-1,-9.899340272E-1,-4.965641201E-1
1.546644584E-1,1.972319633E-1,-8.360629678E-1,-4.431405663E-1
1.646394584E-1,-1.110666916E-1,-3.188691735E-1,-6.855681539E-1
1.746154584E-1,-4.609905481E-1,2.656594217E-1,-9.442719221E-1
1.845914584E-1,-4.856615365E-1,5.989598632E-1,-1.042500973E0
1.945674584E-1,-1.128918305E-1,2.046758085E-1,-6.159207225E-1
2.045434584E-1,3.838516176E-1,-2.831583321E-1,6.698594242E-2
2.145194584E-1,6.645332575E-1,-5.144370794E-1,5.547598004E-1
2.244954584E-1,8.176810145E-1,-6.968601942E-1,8.415345550E-1
2.344714584E-1,6.296975613E-1,-5.485593677E-1,9.036656618E-1
2.444474584E-1,4.417255521E-1,-1.775205731E-1,8.604585528E-1
2.544221667E-1,3.633231819E-1,1.574393958E-1,6.903969646E-1
2.643981667E-1,3.094607592E-1,4.077690542E-1,4.517681003E-1
2.743741667E-1,7.511425018E-2,4.661081135E-1,3.833490908E-1
2.843501667E-1,-7.607048005E-2,4.122006595E-1,3.527717590E-1
2.943261667E-1,1.333506107E-1,3.580139577E-1,4.013803601E-1
3.043021667E-1,4.712351561E-1,2.136668712E-1,4.317843318E-1
3.142781667E-1,6.005628705E-1,1.436194330E-1,4.676649868E-1
3.242541667E-1,5.942703485E-1,1.700395942E-1,4.346106350E-1
3.342301667E-1,5.348806381E-1,2.321608663E-1,4.040052295E-1
3.442051667E-1,5.503259301E-1,2.612369657E-1,4.720138609E-1
3.541811667E-1,4.359473586E-1,3.604480624E-1,4.581327140E-1
3.641571667E-1,3.410134017E-1,3.999406099E-1,4.486745000E-1
3.741331667E-1,3.387125432E-1,2.549556196E-1,4.328691959E-1
3.841091667E-1,3.824959695E-1,1.274051517E-1,3.948043585E-1
3.940851667E-1,4.753787816E-1,4.327410460E-2,3.379142880E-1
4.040611667E-1,6.010376811E-1,3.088561073E-2,2.783481777E-1
4.140371667E-1,7.217506766E-1,1.034969687E-1,2.151339799E-1
4.240131667E-1,7.792014480E-1,1.806482077E-1,1.934105754E-1
4.339881667E-1,8.166330457E-1,2.485697567E-1,2.219636887E-1
4.439641667E-1,8.727493286E-1,2.462261617E-1,2.744516730E-1
4.539401667E-1,9.232966304E-1,1.170185506E-1,3.627702594E-1
4.639161667E-1,9.654661417E-1,-1.121382043E-1,3.804227710E-1
4.738921667E-1,9.441392422E-1,-3.084388971E-1,3.606685698E-1
4.838681667E-1,8.220520020E-1,-3.399273157E-1,3.296533823E-1
4.938441667E-1,6.790741682E-1,-3.335043192E-1,3.027774096E-1
5.038201667E-1,5.828629732E-1,-2.702087164E-1,3.008146584E-1
5.137951667E-1,5.330589414E-1,-1.323133409E-1,3.080641329E-1
5.237711667E-1,5.344906449E-1,2.794675529E-3,3.029394150E-1
5.337471667E-1,5.411360264E-1,1.042044759E-1,2.818869352E-1
5.437231667E-1,5.247567892E-1,7.516617328E-2,2.404473573E-1
5.536991667E-1,4.732448757E-1,-7.094195485E-2,2.131516784E-1
5.636751667E-1,4.184633791E-1,-1.062496081E-1,2.697446644E-1
5.736511667E-1,3.516786695E-1,-1.091711968E-1,3.081605732E-1
5.836271667E-1,3.264633417E-1,-9.816808254E-2,3.176414073E-1
5.936031667E-1,3.222587705E-1,-8.572611958E-2,3.200461864E-1
6.035781667E-1,3.197378218E-1,-6.177657843E-2,2.974143922E-1
6.135541667E-1,2.881369889E-1,-3.076257370E-2,2.707323432E-1
6.235301667E-1,2.257532477E-1,6.014348939E-3,2.588000298E-1
6.335061667E-1,1.699671894E-1,4.373838380E-2,2.510487139E-1
6.434821667E-1,1.421891004E-1,7.025174797E-2,2.413076758E-1
6.534581667E-1,1.571662426E-1,9.796975553E-2,2.412180752E-1
6.634341667E-1,1.990763992E-1,1.238072067E-1,2.497614920E-1
6.734101667E-1,2.520550489E-1,1.395785213E-1,2.612913251E-1
6.833851667E-1,2.937889099E-1,1.249497905E-1,2.723138928E-1
6.933611667E-1,2.977669537E-1,1.129025370E-1,2.789900601E-1
7.033371667E-1,2.662129998E-1,1.289398223E-1,2.695515454E-1
7.133131667E-1,2.274484336E-1,1.556894183E-1,2.448244691E-1
7.232891667E-1,2.116207331E-1,1.340475082E-1,2.174474448E-1
7.332651667E-1,2.491735518E-1,9.070917219E-2,2.035542130E-1
7.432411667E-1,3.400914967E-1,3.798098490E-2,1.985541284E-1
7.532171667E-1,4.428063631E-1,1.625262760E-2,1.988228709E-1
7.631931667E-1,5.106948614E-1,1.526805758E-2,1.976468265E-1
7.731681667E-1,5.156113505E-1,5.607049912E-2,1.849296391E-1
7.831441667E-1,4.557559788E-1,1.827477366E-1,1.742671430E-1
7.931201667E-1,3.907081783E-1,2.845555544E-1,1.768201292E-1
8.030961667E-1,3.549781442E-1,3.203284442E-1,1.932182759E-1
8.130721667E-1,3.448771238E-1,2.984705567E-1,1.983510703E-1
8.230481667E-1,3.250943720E-1,2.689211667E-1,1.831470728E-1
8.330241667E-1,2.895337343E-1,2.735646665E-1,1.483909637E-1
8.430001667E-1,2.549768090E-1,2.598315477E-1,1.024841815E-1
