"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.061666677E-3,1.201767854E0,5.844408989E-1,8.011615151E-1
1.303766668E-2,1.161826694E0,6.210859841E-1,1.091257671E0
2.301366668E-2,9.803289004E-1,7.345950580E-1,1.567856618E0
3.298966662E-2,9.029320112E-1,5.475765431E-1,2.923447613E0
4.296566662E-2,3.812051680E-1,7.384320009E-1,3.786207790E0
5.294166662E-2,-8.885574355E-1,-4.236079699E-1,2.667835996E0
6.291766663E-2,-1.599382465E0,-1.619403332E0,1.568528463E0
7.289366663E-2,-1.637296104E0,-1.863652055E0,9.157675266E-1
8.287066664E-2,-1.387098132E0,-1.883460667E0,2.309825599E-1
9.284666664E-2,-1.527469461E0,-1.854794108E0,-9.338974035E-1
1.028226666E-1,-1.471918427E0,-1.222054038E0,-1.458157005E0
1.127986666E-1,-1.271011021E0,-6.094149417E-1,-1.859627416E0
1.227746666E-1,-1.132895036E0,1.184084558E-1,-1.628952420E0
1.327506666E-1,-1.321210683E0,7.123575121E-1,-1.080306421E0
1.427266666E-1,-1.764881180E0,1.023561532E0,-8.461996937E-1
1.527026666E-1,-2.045052857E0,1.081223264E0,-6.476516390E-1
1.626786666E-1,-2.132803338E0,5.774546456E-1,-6.593542564E-1
1.726546666E-1,-1.813215288E0,2.211726862E-1,-5.528752899E-1
1.826306666E-1,-1.490561251E0,-2.585287929E-2,-4.861714232E-1
1.926066666E-1,-1.201371121E0,-7.790303886E-2,-4.684298015E-1
2.025826667E-1,1.879860829E-1,8.952145636E-2,-4.592695534E-2
2.125586667E-1,4.742483658E0,6.092021030E-1,6.995608807E-2
2.225356667E-1,6.018508081E0,1.123432560E0,-8.051785523E-1
2.325116667E-1,2.216578297E0,5.225481212E-2,-2.766858593E0
2.424876667E-1,-2.473606841E-1,-1.385809990E0,-3.991190121E0
2.524636667E-1,-2.953888363E-1,-1.029861322E0,-3.108534792E0
2.624396667E-1,-7.151583284E-2,-2.180724925E-1,-1.049044282E0
2.724156667E-1,-9.011163776E-1,-6.566247761E-2,-4.703576285E-1
