"Time (s)","X (hPa)"
-5.715170833E-1,1.018503571E3
4.309669167E-1,1.018507080E3
1.433404917E0,1.018510590E3
2.435875917E0,1.018524017E3
3.438349917E0,1.018542023E3
3.793510917E0,1.018561478E3
4.862837917E0,1.018562012E3
5.932147917E0,1.018580093E3
7.001405917E0,1.018595276E3
8.070687917E0,1.018607407E3
9.139941917E0,1.018624268E3
1.020921892E1,1.018639832E3
1.127845992E1,1.018648071E3
1.234769192E1,1.018649521E3
1.341696492E1,1.018649521E3
1.448619092E1,1.018644028E3
1.555545692E1,1.018636932E3
1.662475492E1,1.018630829E3
1.769399592E1,1.018628540E3
1.876323892E1,1.018626862E3
1.983251192E1,1.018623657E3
2.090179692E1,1.018619614E3
2.197102092E1,1.018619385E3
2.304026892E1,1.018617935E3
2.410958492E1,1.018617935E3
2.517893692E1,1.018622131E3
2.624828392E1,1.018624954E3
2.731761492E1,1.018627853E3
2.838691692E1,1.018632889E3
2.945616992E1,1.018655014E3
3.052545992E1,1.018668213E3
3.159474292E1,1.018690796E3
3.266399992E1,1.018734818E3
3.373323992E1,1.018794327E3
3.480250292E1,1.018831863E3
3.587180092E1,1.018868637E3
3.694106892E1,1.018899689E3
3.801034592E1,1.018957062E3
3.907960492E1,1.018979874E3
4.014884292E1,1.018979874E3
4.121809992E1,1.018954544E3
4.228737992E1,1.018864441E3
4.335666192E1,1.018690796E3
4.442591092E1,1.018519287E3
4.549515692E1,1.018440247E3
4.656440092E1,1.018440247E3
4.763366692E1,1.018448486E3
4.870297292E1,1.018524857E3
4.977228392E1,1.018524857E3
5.084157192E1,1.018439255E3
5.191084892E1,1.018280945E3
5.298011692E1,1.018077316E3
5.404944592E1,1.017856979E3
5.511873992E1,1.017719116E3
5.618800692E1,1.017619476E3
5.725729692E1,1.017576981E3
5.832663392E1,1.017576981E3
5.939593192E1,1.017649765E3
6.046523492E1,1.017672043E3
6.153456292E1,1.017696991E3
6.260388292E1,1.017730408E3
6.384589992E1,1.017746429E3
6.518070592E1,1.017751236E3
6.651552192E1,1.017774811E3
6.785031192E1,1.017836761E3
6.918514892E1,1.017896729E3
7.051991992E1,1.017964706E3
7.185471692E1,1.018024063E3
7.318952692E1,1.018081360E3
7.452431192E1,1.018121719E3
7.585916092E1,1.018167877E3
7.719394792E1,1.018227692E3
7.852873992E1,1.018273163E3
7.986357592E1,1.018325119E3
8.119836192E1,1.018383026E3
8.253315292E1,1.018423920E3
8.386794692E1,1.018447266E3
8.520277392E1,1.018482590E3
8.653760292E1,1.018506775E3
8.787242292E1,1.018535233E3
8.920721592E1,1.018580093E3
9.054202692E1,1.018615265E3
9.187682892E1,1.018642578E3
9.321158492E1,1.018656921E3
9.454637292E1,1.018656921E3
9.588116792E1,1.018656540E3
9.721593692E1,1.018645172E3
9.855076292E1,1.018625107E3
9.988561592E1,1.018612213E3
1.012204439E2,1.018602982E3
1.025552999E2,1.018593369E3
1.038901349E2,1.018581314E3
1.052250129E2,1.018581314E3
1.065599919E2,1.018581390E3
1.078948669E2,1.018581390E3
1.092296989E2,1.018581314E3
1.105645189E2,1.018580551E3
1.118993709E2,1.018579865E3
1.132342239E2,1.018579865E3
1.145690699E2,1.018585739E3
1.159039119E2,1.018597488E3
1.172387559E2,1.018607407E3
1.185735569E2,1.018650360E3
1.199084289E2,1.018703232E3
1.212432969E2,1.018750153E3
1.225781509E2,1.018774643E3
1.239130429E2,1.018785782E3
1.252479159E2,1.018785782E3
1.265827669E2,1.018768005E3
1.279176569E2,1.018757706E3
1.292525819E2,1.018741684E3
1.305874619E2,1.018721085E3
1.319223939E2,1.018678970E3
1.332573049E2,1.018549347E3
1.345921359E2,1.018389740E3
1.359270859E2,1.018227005E3
1.372619939E2,1.018038177E3
1.385969249E2,1.017826004E3
1.399319299E2,1.017676163E3
1.412669369E2,1.017558441E3
1.426019709E2,1.017443466E3
1.439369499E2,1.017353745E3
1.452718719E2,1.017312546E3
1.466067869E2,1.017278214E3
1.479416879E2,1.017257767E3
1.492766009E2,1.017257767E3
1.506115069E2,1.017326889E3
1.519464309E2,1.017326889E3
1.532813539E2,1.017301331E3
1.546162899E2,1.017296295E3
1.559512429E2,1.017287445E3
1.572861779E2,1.017187881E3
1.586211089E2,1.017187729E3
1.599560309E2,1.017176514E3
1.612909359E2,1.017187729E3
1.626258359E2,1.017216492E3
1.639606869E2,1.017313232E3
1.652955669E2,1.017500076E3
1.666304469E2,1.017710190E3
1.679653099E2,1.017893753E3
1.693001199E2,1.018065414E3
1.706349789E2,1.018188324E3
1.719697879E2,1.018234253E3
1.733045979E2,1.018253098E3
1.746393969E2,1.018296509E3
1.759741949E2,1.018323441E3
