"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.626791713E-3,7.257717557E-1,6.738504542E-1,-1.326370704E-1
1.260279171E-2,8.612083268E-1,4.198939647E-1,-1.123150724E-1
2.257979172E-2,8.541467907E-1,2.427441611E-1,6.667463064E-2
3.255579167E-2,7.743333934E-1,1.549267296E-1,3.034500271E-1
4.253179167E-2,8.090333292E-1,-4.316407286E-2,3.487729651E-1
5.250879168E-2,6.797019091E-1,-1.477003750E-1,3.428684467E-1
6.248479168E-2,6.495167546E-1,-2.379582882E-1,1.694651735E-1
7.246079168E-2,6.458952085E-1,-3.777769089E-1,-6.760667682E-2
8.243779169E-2,5.888067225E-1,-3.718564568E-1,-1.846942466E-1
9.241379169E-2,5.305601223E-1,-3.302393380E-1,-2.142741412E-1
1.023897917E-1,5.029025730E-1,-2.780329116E-1,-1.538127619E-1
1.123667917E-1,4.733477484E-1,-2.430006346E-1,-2.600256801E-3
1.223427917E-1,4.500916176E-1,-2.159901528E-1,1.043605202E-1
1.323187917E-1,3.817729691E-1,-1.824394872E-1,1.817852569E-1
1.422957917E-1,3.468132707E-1,-2.069941384E-1,1.696177858E-1
1.522717917E-1,3.223425271E-1,-2.456928389E-1,1.577526158E-1
1.622477917E-1,2.933814141E-1,-2.172163139E-1,6.409308493E-2
1.722247917E-1,2.800396760E-1,-2.210397352E-1,-3.745550931E-2
1.822007917E-1,2.864059051E-1,-2.188126769E-1,-8.583595634E-2
1.921767917E-1,3.029791070E-1,-2.140493158E-1,-5.511000752E-2
2.021537917E-1,3.495371962E-1,-1.809299554E-1,-2.998159826E-2
2.121297917E-1,4.191045175E-1,-1.407647733E-1,6.795049310E-3
2.221057917E-1,4.535266375E-1,-8.575979635E-2,4.284956574E-2
2.320827917E-1,4.819895677E-1,-3.794221692E-2,7.311943173E-2
2.420587917E-1,5.131798585E-1,-1.784248620E-2,5.886391997E-2
2.520347917E-1,5.388897002E-1,1.361085624E-3,2.136864960E-2
2.620107917E-1,5.326945022E-1,1.824433610E-2,-4.548841417E-2
2.719877917E-1,5.476641782E-1,4.718249872E-2,-1.122232711E-1
2.819637917E-1,5.807393190E-1,6.820082702E-2,-9.471086025E-2
2.919397917E-1,6.417160573E-1,1.017197715E-1,-7.412749171E-2
3.019167917E-1,6.849424030E-1,1.201054640E-1,-2.541082978E-2
3.118927917E-1,7.252115925E-1,1.186370089E-1,-2.465361536E-2
3.218687917E-1,7.294851031E-1,1.153174715E-1,-2.541843116E-2
3.318457917E-1,7.878406077E-1,2.036192717E-1,-7.553491652E-2
3.418217917E-1,8.212530597E-1,2.842712329E-1,-8.897883475E-2
3.517977917E-1,8.266501860E-1,3.164551849E-1,-6.190622628E-2
3.617747917E-1,7.876109583E-1,3.101083247E-1,-2.232408464E-2
3.717507917E-1,7.444886930E-1,2.813974725E-1,3.544348240E-2
3.817267917E-1,6.915765808E-1,2.544163730E-1,3.842673182E-2
3.917037917E-1,6.651418304E-1,1.732325345E-1,7.471806049E-2
4.016797917E-1,6.171373594E-1,1.242830072E-1,5.560234308E-2
4.116557917E-1,5.977791287E-1,1.349820232E-1,-3.373492599E-2
4.216327917E-1,5.900280596E-1,1.473328775E-1,-1.343397796E-1
4.316087917E-1,6.256637692E-1,1.699368245E-1,-1.418739170E-1
4.415847917E-1,6.306526136E-1,1.673400030E-1,-7.029171824E-2
4.515617917E-1,6.186533231E-1,1.211015372E-1,1.685927689E-2
4.615377917E-1,6.483164674E-1,8.269950986E-2,6.847791195E-2
4.715137917E-1,6.401458606E-1,3.676429532E-2,9.012138069E-2
4.814907917E-1,6.263812226E-1,2.678470619E-2,6.497484505E-2
4.914667917E-1,6.106390563E-1,6.755280934E-2,1.814975739E-3
5.014427917E-1,6.098599148E-1,6.775336884E-2,1.907946467E-3
5.114197917E-1,5.902199214E-1,1.281723558E-1,-1.270377767E-1
5.213957917E-1,6.076715943E-1,1.453927714E-1,-1.106959784E-1
5.313717917E-1,6.218565740E-1,1.440604833E-1,-5.586429834E-2
5.413487917E-1,5.715597021E-1,1.161944807E-1,-1.820530593E-2
5.513247917E-1,5.484251934E-1,9.633982144E-2,-8.281996250E-3
5.613007917E-1,5.506052546E-1,1.187049097E-1,-3.463305831E-3
5.712777917E-1,4.867068820E-1,1.010304578E-1,-2.340698898E-2
5.812537917E-1,4.792378680E-1,1.182699499E-1,-4.336821377E-2
5.912297917E-1,4.997879805E-1,1.575419699E-1,-4.155148387E-2
6.012067917E-1,4.665641011E-1,1.665894397E-1,-5.038662672E-2
6.111827917E-1,4.728437915E-1,1.531864520E-1,-4.514927566E-2
6.211587917E-1,5.163348699E-1,2.184443754E-1,-6.094085097E-2
6.311357917E-1,5.251992488E-1,2.366053887E-1,-6.555196524E-2
6.411117917E-1,5.257065678E-1,2.062146315E-1,-3.994700789E-2
6.510881667E-1,5.630270796E-1,2.085831193E-1,-3.770869374E-3
6.610641667E-1,5.920691033E-1,1.723570602E-1,3.292450190E-2
6.710411667E-1,5.956731809E-1,1.007460639E-1,6.819432199E-2
6.810171667E-1,6.191475590E-1,5.259533934E-2,6.313764989E-2
6.909931667E-1,6.170955518E-1,7.593588933E-2,-1.600382924E-3
7.009701667E-1,6.093521572E-1,1.190501147E-1,-7.030809045E-2
7.109461667E-1,5.976503438E-1,1.491854216E-1,-1.016871732E-1
7.209221667E-1,5.973992059E-1,1.746602784E-1,-7.288378894E-2
7.308991667E-1,5.769664762E-1,1.655377449E-1,-9.985290170E-3
7.408751667E-1,5.953549462E-1,1.514130646E-1,2.720534027E-2
7.508511667E-1,5.903068987E-1,1.339059893E-1,4.689233065E-2
7.608281667E-1,5.423815113E-1,1.171363941E-1,5.786287665E-2
7.708041667E-1,5.358987764E-1,1.722993920E-1,2.719598472E-2
7.807801667E-1,5.417450418E-1,2.301178298E-1,-2.396539807E-2
7.907571667E-1,5.099720029E-1,2.050997137E-1,-9.965994358E-3
8.007331667E-1,5.202229759E-1,1.993282194E-1,-7.041801810E-3
8.107091667E-1,5.499931242E-1,2.087180438E-1,-1.534660220E-2
8.206861667E-1,5.434571066E-1,1.860201028E-1,1.681717694E-2
8.306621667E-1,5.587499144E-1,1.642010714E-1,1.090447247E-2
8.406381667E-1,5.789166688E-1,1.649833558E-1,-1.535946608E-2
8.506151667E-1,5.542048006E-1,1.207336012E-1,-2.651712298E-2
8.605911667E-1,5.468643522E-1,5.738413587E-2,-1.457593918E-2
8.705671667E-1,5.716707261E-1,5.576124117E-3,2.181011438E-3
8.805441667E-1,5.487579730E-1,-3.010884829E-2,7.283876538E-3
8.905201667E-1,5.289785235E-1,-4.459466726E-2,1.789072573E-2
9.004961667E-1,5.221592814E-1,-2.019043565E-3,9.064938426E-3
9.104731667E-1,5.250197393E-1,1.649060994E-3,-1.669964790E-3
9.204491667E-1,5.151272006E-1,-5.173324049E-3,-2.486002207E-2
9.304251667E-1,5.258890010E-1,1.133555844E-3,-2.124585807E-2
9.404021667E-1,4.673688973E-1,-1.277002662E-2,2.806429625E-2
9.503781667E-1,3.754620693E-1,-5.706553571E-2,4.640116453E-2
9.603541667E-1,3.741358477E-1,-5.060999036E-2,6.575603306E-2
9.703301667E-1,3.965564114E-1,-4.550924487E-2,9.661179006E-2
9.803071667E-1,3.741354822E-1,-4.034008697E-2,1.024958432E-1
9.902831667E-1,3.734501886E-1,-4.161419526E-2,1.024303544E-1
1.000259167E0,4.069866016E-1,1.002107513E-1,1.970219314E-2
1.010236167E0,4.054023716E-1,9.892399840E-2,1.971973479E-2
1.020212167E0,4.064636412E-1,1.973072755E-1,-7.667161524E-2
1.030188167E0,4.159566689E-1,2.908953973E-1,-1.236838138E-1
1.040165167E0,3.849627715E-1,2.929506205E-1,-1.240796703E-1
1.050141167E0,3.516263332E-1,2.402004030E-1,-1.022660476E-1
1.060117167E0,3.424581914E-1,1.862676593E-1,-3.110134006E-2
1.070094167E0,3.205828806E-1,1.051659011E-1,3.137382030E-2
1.080070167E0,3.171377011E-1,4.230409361E-2,9.262983620E-2
1.090046167E0,3.915893479E-1,7.479984842E-2,8.302519977E-2
1.100023167E0,4.756369333E-1,1.654324219E-1,4.810504317E-2
1.109999167E0,5.328511345E-1,3.158194464E-1,-1.463791966E-2
1.119975167E0,5.682663310E-1,4.654342729E-1,-5.324006796E-2
1.129952167E0,5.809237256E-1,5.480561610E-1,-9.645274580E-2
1.139928167E0,6.001128256E-1,5.439039800E-1,-1.372370750E-1
1.149904167E0,6.153109816E-1,4.629891135E-1,-1.184248281E-1
1.159881167E0,6.381485248E-1,3.525507780E-1,-5.048485994E-2
1.169857167E0,6.499452824E-1,2.386945988E-1,3.274031460E-2
1.179833167E0,6.235282199E-1,1.760422678E-1,7.360942841E-2
1.189810167E0,5.979635353E-1,1.273127420E-1,8.105585754E-2
1.199786167E0,5.239969151E-1,7.919198446E-2,6.503390193E-2
1.209762167E0,4.907111283E-1,7.653990671E-2,6.017369628E-2
1.219739167E0,4.841827121E-1,1.075759041E-1,9.282630265E-2
1.229715167E0,4.748404694E-1,1.094304948E-1,7.796443462E-2
1.239691167E0,4.529805806E-1,7.317234904E-2,4.967852890E-2
1.249667167E0,4.627181681E-1,8.738327578E-2,3.268476605E-2
1.259644167E0,4.669181500E-1,7.324821666E-2,2.685860038E-2
1.269620167E0,4.902306334E-1,3.784551859E-2,-2.266965508E-3
