"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.591291665E-3,-5.095209181E-2,-4.676180780E-1,3.686536103E-3
1.356829167E-2,-5.262801796E-2,-4.757471085E-1,-1.407674793E-2
2.354429167E-2,-5.390914530E-2,-4.746231139E-1,-4.373355582E-2
3.352029168E-2,-6.588751078E-2,-4.510988891E-1,-8.696810901E-2
4.349629168E-2,-5.475648120E-2,-3.979406655E-1,-1.354813874E-1
5.347329169E-2,-5.216921866E-2,-3.443922102E-1,-1.696191132E-1
6.344929169E-2,-5.673242360E-2,-3.185350597E-1,-1.892450303E-1
7.342529169E-2,-5.814443156E-2,-2.899899483E-1,-1.985935122E-1
8.340229170E-2,-6.285084039E-2,-2.625966072E-1,-1.988269240E-1
9.337829170E-2,-7.839705050E-2,-2.562758625E-1,-2.005563825E-1
1.033542917E-1,-6.783843040E-2,-2.416910529E-1,-1.974409372E-1
1.133302917E-1,-5.566272140E-2,-2.083171159E-1,-1.892035007E-1
1.233072917E-1,-4.623449966E-2,-1.659673601E-1,-1.821609139E-1
1.332832917E-1,-3.256848827E-2,-1.237061843E-1,-1.636745781E-1
1.432592917E-1,-2.806708589E-2,-6.254003197E-2,-1.642311066E-1
1.532352917E-1,-2.527289651E-2,-2.917515486E-2,-1.485837102E-1
1.632122917E-1,-2.637210861E-2,-1.028109901E-2,-1.462595463E-1
1.731882917E-1,-4.680813849E-2,-2.880440792E-3,-1.481519789E-1
1.831642917E-1,-5.349249020E-2,-1.648778096E-2,-1.502061933E-1
1.931412917E-1,-4.298977926E-2,-3.637495451E-3,-1.275059432E-1
2.031176667E-1,-3.586143628E-2,8.711055852E-3,-1.072848365E-1
2.130936667E-1,-3.287150711E-2,1.915201196E-3,-8.777318150E-2
2.230696667E-1,-3.399581462E-2,-1.870295848E-3,-7.026492804E-2
2.330466667E-1,-4.550652951E-2,-2.153134905E-2,-7.980250567E-2
2.430226667E-1,-2.632595040E-2,-1.714328071E-3,-6.398551166E-2
2.529986667E-1,-2.343082801E-2,4.901143536E-2,-4.661131278E-2
2.629746667E-1,-2.832305431E-2,7.430054247E-2,-3.683458269E-2
2.729516667E-1,-3.187251464E-2,6.790017337E-2,-2.300132625E-2
2.829276667E-1,-3.244277835E-2,4.917370155E-2,-1.858963817E-2
2.929036667E-1,-3.810971975E-2,3.331484273E-2,-8.900027024E-4
3.028806667E-1,-4.985607415E-2,-3.828978166E-3,-9.083967889E-4
3.128566667E-1,-2.407188155E-2,1.184745319E-2,2.916614898E-2
3.228326667E-1,-7.050048560E-3,6.067573652E-2,5.325474963E-2
3.328086667E-1,4.448415712E-3,9.257987142E-2,6.660677493E-2
3.427856667E-1,8.486612700E-3,1.171588078E-1,6.719814986E-2
3.527616667E-1,3.155230545E-3,1.386699528E-1,6.113678962E-2
3.627376667E-1,-4.002303351E-3,1.502269059E-1,5.865629762E-2
3.727136667E-1,-3.333009779E-2,1.210341305E-1,4.146506265E-2
3.826906667E-1,-1.227724832E-2,9.515097737E-2,4.992444813E-2
3.926666667E-1,-2.482825657E-4,8.851357549E-2,5.310159922E-2
4.026426667E-1,2.073240466E-3,7.971005142E-2,5.730208755E-2
4.126196667E-1,2.483367221E-3,7.471130043E-2,6.633020192E-2
4.225956667E-1,1.355181797E-3,7.115871459E-2,8.058886230E-2
4.325716667E-1,2.393173054E-4,8.058097959E-2,8.495724201E-2
4.425476667E-1,1.067881379E-2,7.796397805E-2,8.436482400E-2
4.525246667E-1,1.751807705E-2,6.136370078E-2,7.005193084E-2
4.625006667E-1,1.642311178E-2,2.850828879E-2,4.942546785E-2
4.724766667E-1,1.013911702E-2,-7.727213204E-3,3.105418570E-2
4.824526667E-1,4.632232711E-3,-1.467220485E-2,1.137528848E-2
4.924296667E-1,9.976131842E-3,-1.987575553E-2,3.688606899E-3
5.024056667E-1,7.402088959E-3,-3.599683568E-2,-7.637947332E-3
5.123816667E-1,-7.170898607E-4,-4.074285552E-2,-1.832068525E-2
5.223586667E-1,-2.801529132E-3,-4.159987718E-2,-2.253138274E-2
5.323346667E-1,-1.159395464E-2,-3.064389899E-2,-3.261144832E-2
5.423106667E-1,-2.120384201E-2,-2.815490775E-2,-3.814008459E-2
5.522866667E-1,-2.784416638E-2,-2.117982134E-2,-4.330022633E-2
5.622636667E-1,-3.212359920E-2,-2.298384719E-2,-4.536524042E-2
5.722396667E-1,-2.565851063E-2,-3.055068664E-2,-4.586884379E-2
5.822156667E-1,-2.225943841E-2,-3.435962275E-2,-4.458509758E-2
5.921916667E-1,-1.983649470E-2,-3.112334572E-2,-4.290357605E-2
6.021686667E-1,-1.842981949E-2,-2.426756546E-2,-3.925354779E-2
6.121446667E-1,-1.595094986E-2,-1.767863706E-2,-3.466199338E-2
6.221206667E-1,-1.877485774E-2,-1.231327374E-2,-2.894758619E-2
6.320966667E-1,-2.160659619E-2,3.865962382E-3,-2.168887481E-2
6.420736667E-1,-1.864647120E-2,2.621212415E-2,-1.356860530E-2
6.520496667E-1,-1.748267002E-2,4.007787257E-2,-3.463507164E-3
6.620256667E-1,-1.360619068E-2,4.680383950E-2,4.040821921E-3
6.720026667E-1,-8.658037521E-3,4.846937954E-2,8.576983586E-3
6.819786667E-1,-9.998893365E-3,4.568726197E-2,1.294791419E-2
6.919546667E-1,-1.157734916E-2,4.007598013E-2,1.751150750E-2
7.019306667E-1,-1.528244466E-2,4.171286151E-2,1.830000803E-2
7.119076667E-1,-1.804760471E-2,5.154765025E-2,1.900068484E-2
7.218836667E-1,-2.135964856E-2,5.811687559E-2,2.516545355E-2
7.318596667E-1,-1.844561659E-2,5.571496859E-2,3.385082260E-2
7.418356667E-1,-1.122102328E-2,5.138350278E-2,4.010033980E-2
7.518126667E-1,-3.750589676E-3,5.220695212E-2,3.929819539E-2
7.617886667E-1,-6.052580662E-3,4.643649980E-2,3.831936792E-2
7.717646667E-1,-1.108515635E-2,3.382457048E-2,4.065575823E-2
7.817416667E-1,-1.558643579E-2,3.029908240E-2,3.651657328E-2
7.917176667E-1,-1.945893839E-2,3.800386935E-2,2.943762578E-2
8.016936667E-1,-2.456891723E-2,4.781113565E-2,2.138089761E-2
8.116696667E-1,-1.921356656E-2,4.648621380E-2,1.524390839E-2
8.216466667E-1,-7.974621840E-3,4.509044811E-2,6.617412437E-3
8.316226667E-1,3.032222856E-3,3.339304402E-2,6.993450690E-3
8.415986667E-1,1.158490684E-2,1.330713928E-2,1.175287366E-2
8.515746667E-1,1.639910229E-2,1.880313619E-3,1.513588708E-2
8.615516667E-1,1.639248990E-2,4.957418423E-3,1.491552591E-2
8.715276667E-1,8.148143068E-3,1.831476949E-2,7.304744795E-3
8.815036667E-1,-6.218673661E-4,2.993928827E-2,-3.455341794E-3
8.914806667E-1,-5.892263260E-3,3.501926735E-2,-8.512950502E-3
9.014566667E-1,-2.995814197E-3,3.039229661E-2,-1.138926297E-2
9.114326667E-1,-1.496454817E-3,2.707719430E-2,-1.082440652E-2
9.214086667E-1,4.311145749E-3,2.846745215E-2,-5.302192178E-3
9.313856667E-1,1.231820602E-2,3.896536678E-2,6.747399457E-4
9.413616667E-1,1.629421487E-2,5.319179967E-2,2.121602884E-3
9.513376667E-1,1.380868722E-2,7.114310563E-2,2.970885020E-3
9.613136667E-1,7.872343063E-3,7.942155749E-2,5.014920607E-3
9.712906667E-1,7.463547867E-3,7.566836476E-2,4.860191606E-3
9.812666667E-1,4.183007404E-3,6.048840657E-2,5.978639703E-3
9.912426667E-1,2.778456546E-3,5.211915821E-2,8.650589734E-3
1.001218667E0,3.172785044E-3,4.929522797E-2,8.592864498E-3
1.011195667E0,2.022299450E-3,6.019048765E-2,1.178759243E-2
1.021171667E0,-7.619549520E-3,6.784921139E-2,1.099235844E-2
1.031147667E0,-1.518239360E-2,7.651460916E-2,8.503101766E-3
1.041124667E0,-2.123153396E-2,7.831800729E-2,3.054587636E-3
1.051100667E0,-2.243075520E-2,7.290433347E-2,-1.822193037E-3
1.061076667E0,-1.997341029E-2,6.279372424E-2,1.747657545E-3
1.071052667E0,-2.113161981E-2,5.289395899E-2,7.607144769E-3
1.081029667E0,-1.826100424E-2,4.813915491E-2,1.102654450E-2
1.091005667E0,-1.055567898E-2,4.955196008E-2,9.120520204E-3
1.100981667E0,-1.083298703E-3,4.490056634E-2,9.417445399E-3
1.110957667E0,-3.472008975E-4,3.789219260E-2,4.555045161E-3
1.120934667E0,-2.858344931E-3,2.353287674E-2,1.301479759E-3
1.130910667E0,-9.950609878E-3,1.638496644E-3,-2.214691835E-3
1.140886667E0,-1.995361410E-2,-1.544311270E-2,-2.450250555E-3
1.150862667E0,-2.472440153E-2,-1.947540417E-2,-4.923528060E-3
1.160839667E0,-2.655336261E-2,-2.109869383E-2,-9.524706751E-3
1.170815667E0,-2.561779507E-2,-1.904806122E-2,-1.353329606E-2
1.180791667E0,-2.518055961E-2,-1.157957315E-2,-1.358807180E-2
1.190768667E0,-2.160579897E-2,4.300590605E-3,-1.134915184E-2
1.200744583E0,-1.657495648E-2,1.509012375E-2,-8.339696564E-3
1.210720583E0,-1.313681528E-2,1.601850055E-2,-3.236813005E-3
1.220696583E0,-7.490703836E-3,1.595290937E-2,1.357355359E-4
1.230673583E0,-9.880632861E-4,2.183529921E-2,3.596246941E-3
1.240649583E0,4.937309772E-3,3.025051951E-2,5.153989885E-3
1.250625583E0,9.124863893E-3,4.118652269E-2,5.993684754E-3
1.260601583E0,1.232193410E-2,5.095784739E-2,1.697393833E-3
1.270578583E0,1.342581492E-2,5.236160010E-2,2.901795087E-4
1.280554583E0,1.448812149E-2,5.037477985E-2,-1.096018008E-3
1.290530583E0,1.981843822E-2,5.378921703E-2,5.753819132E-4
1.300506583E0,2.006166428E-2,5.143996328E-2,2.379410435E-3
1.310483583E0,1.270201802E-2,3.864640370E-2,1.934396336E-3
1.320459583E0,1.102361549E-2,1.886266097E-2,-1.961358357E-4
1.330435583E0,8.243008517E-3,-1.332356245E-3,1.523733605E-3
1.340412583E0,9.282167070E-3,-1.844555885E-2,4.800555762E-3
1.350388583E0,1.242176723E-2,-1.496613864E-2,9.285851382E-3
1.360364583E0,1.228035707E-2,-1.265509054E-3,1.469136775E-2
1.370340583E0,1.427906007E-2,1.522021601E-3,2.130612731E-2
1.380317583E0,9.381904267E-3,1.594993751E-3,2.263060212E-2
1.390293583E0,3.830012400E-3,1.830366626E-2,1.848112978E-2
1.400269583E0,-1.431618584E-4,3.112252802E-2,1.449294761E-2
1.410245583E0,1.058988972E-3,1.500667632E-2,1.563437842E-2
1.420222583E0,4.636850208E-3,-4.855084233E-3,2.112968080E-2
1.430198583E0,3.343086690E-3,-7.414914668E-3,2.868640050E-2
1.440174583E0,1.844449551E-3,-8.149602450E-3,3.432111070E-2
1.450151583E0,4.154475406E-3,-3.460841253E-3,3.864688426E-2
1.460127583E0,1.194056473E-3,8.949403651E-3,4.164988548E-2
1.470103583E0,-2.564729191E-3,2.357948013E-2,4.327840731E-2
1.480079583E0,-5.770516582E-3,2.636275627E-2,4.436256737E-2
1.490056583E0,-3.793918528E-3,2.223432437E-2,4.589734599E-2
1.500032583E0,-8.770194836E-3,1.590202376E-2,4.410360008E-2
1.510008583E0,-1.385576744E-2,9.313629009E-3,4.232434183E-2
1.519984583E0,-1.527040917E-2,-2.274857252E-6,3.995095566E-2
1.529961583E0,-9.572575800E-3,-7.435956504E-3,3.784732521E-2
1.539937583E0,-9.015209042E-3,-4.391313705E-4,3.427297622E-2
1.549913583E0,-8.922796696E-3,1.301036496E-2,3.310890868E-2
1.559889583E0,-9.872213937E-3,1.926346682E-2,3.112352081E-2
1.569866583E0,-1.159341447E-2,1.254457794E-2,3.110487759E-2
