"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.546333337E-3,-2.748004496E-1,-4.845959842E-1,6.538991332E-1
1.452133333E-2,-1.808872819E-1,-8.801534772E-2,6.729399562E-1
2.449633332E-2,-8.706070483E-2,2.305826992E-1,8.169612288E-1
3.447233333E-2,-1.426994801E-1,2.652160525E-1,1.031009436E0
4.444733338E-2,-3.097955883E-2,1.198113933E-1,9.720872641E-1
5.442233337E-2,1.010642275E-1,2.548602819E-1,9.395524859E-1
6.439733336E-2,2.929796875E-1,3.315934837E-1,9.907937050E-1
7.437233336E-2,2.816178501E-1,3.697485924E-1,1.008887410E0
8.434833336E-2,2.913835049E-1,4.724327922E-1,9.958748221E-1
9.432333335E-2,1.275066882E-1,3.774791360E-1,9.249527454E-1
1.042983333E-1,-4.268017039E-2,3.590364456E-1,7.155464292E-1
1.142733333E-1,-2.352994233E-1,3.812061846E-1,5.967497230E-1
1.242483333E-1,-1.938036084E-1,4.560778737E-1,5.710385442E-1
1.342243333E-1,-1.277604103E-1,3.354483843E-1,5.854930878E-1
1.441993333E-1,-1.974090934E-2,2.119922042E-1,6.961520314E-1
1.541743334E-1,1.473998725E-1,2.720131874E-1,7.147720456E-1
1.641493334E-1,3.826178014E-1,2.205620557E-1,7.786340714E-1
1.741243334E-1,5.271201134E-1,2.913963608E-2,9.494675994E-1
1.841003334E-1,5.052221417E-1,6.963031739E-2,1.087661386E0
1.940753334E-1,6.208648682E-1,5.516936779E-1,9.049988985E-1
2.040503334E-1,5.444244742E-1,5.410033464E-1,6.235188246E-1
2.140253333E-1,4.002206922E-1,5.048624277E-1,3.632036150E-1
2.240003333E-1,2.232028544E-1,3.987858593E-1,2.828437388E-1
2.339753333E-1,1.401164830E-1,1.964745671E-1,1.698663086E-1
2.439513333E-1,2.818147838E-1,3.735106587E-1,-7.022961974E-3
2.539263333E-1,4.225908220E-1,5.062023997E-1,-5.653831176E-3
2.639006250E-1,5.334045887E-1,4.856172204E-1,3.024687991E-2
2.738756250E-1,6.364499927E-1,4.607842863E-1,6.407488137E-2
2.838506250E-1,6.950219870E-1,5.626713037E-1,9.226670861E-2
2.938266250E-1,4.933924377E-1,3.672029972E-1,1.244219765E-1
