"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.546333337E-3,-1.110110264E0,3.205113838E0,-7.168861806E-1
1.452133333E-2,-8.207420862E-1,3.251086401E0,3.282265802E-1
2.449633332E-2,-1.612785746E0,4.859281790E0,1.819279435E0
3.447233333E-2,-1.540381721E0,4.898674482E0,1.816511510E0
4.444733338E-2,1.121924855E0,2.444826114E-1,3.466588458E0
5.442233337E-2,2.267446442E0,1.917313707E-1,2.030308518E0
6.439733336E-2,1.692835882E0,5.071985954E-1,1.676780305E0
7.437233336E-2,1.320876368E0,-2.853259975E-1,8.997407471E-1
8.434833336E-2,1.398351975E0,-2.387628651E-1,8.569072612E-1
9.432333335E-2,2.241381016E-1,-2.513710992E0,8.695347619E-1
1.042983333E-1,2.886805451E-1,-2.480370753E0,8.509944105E-1
1.142733333E-1,2.325013742E-1,-1.937986538E0,-6.724274611E-1
1.242483333E-1,-7.702034318E-1,-2.179074256E0,2.063868320E-1
1.342243333E-1,-7.267960417E-1,-2.159930472E0,2.049165496E-1
1.441993333E-1,-7.528842714E-1,5.744392365E-1,4.043922651E-1
1.541743334E-1,-3.470205545E-2,7.074218774E-1,6.919135997E-1
1.641493334E-1,7.668041530E-1,1.180139442E0,8.944744523E-1
1.741243334E-1,7.300801304E-1,1.160417953E0,6.936459835E-1
1.841003334E-1,8.214677256E-1,1.205252649E0,6.474235976E-1
1.940753334E-1,1.283212113E0,-2.794935753E0,-2.695803813E0
2.040503334E-1,3.984099787E-1,-4.732465038E0,-1.554133933E0
2.140253333E-1,2.885416737E-1,-3.016340573E0,-1.181273217E0
2.240003333E-1,-1.318318211E0,-1.523664531E0,2.817774685E-1
2.339753333E-1,-1.301209550E0,-1.513450615E0,2.566275707E-1
2.439513333E-1,-1.726916671E0,-1.172209448E0,1.712035799E0
2.539263333E-1,-1.315578498E0,-1.402144772E-1,1.498786529E0
2.639006250E-1,-5.804530978E-1,-4.361976099E-1,1.779238726E0
2.738756250E-1,1.737734020E-1,-8.400764894E-1,1.391692143E0
2.838506250E-1,1.743385354E-1,-8.292380905E-1,1.313058787E0
2.938266250E-1,-2.350466672E-1,-9.407135028E-1,-9.505900347E-1
3.038016250E-1,-6.449008164E-1,-1.567774757E0,-1.082896299E0
3.137766250E-1,-5.027403858E-1,-1.910364876E0,-2.264333238E0
3.237516250E-1,-7.631595835E-1,1.452869368E-1,-1.404627646E0
3.337266250E-1,-7.433954099E-1,1.564100951E-1,-1.444820237E0
3.437026250E-1,-1.144084341E0,2.607406776E0,7.904266850E-1
3.536776250E-1,-9.097451869E-1,2.317439259E0,6.465862032E-1
3.636526250E-1,-5.745570579E-1,3.102756574E0,8.570625778E-1
3.736276250E-1,-3.744477966E-1,3.816777034E0,1.393656954E0
3.836026250E-1,-3.014295217E-1,3.845289811E0,1.338276805E0
3.935786250E-1,-1.145237412E0,1.525743216E0,-2.581825646E-1
4.035536250E-1,-3.705132052E-1,-1.854724526E0,-1.076036126E0
4.135286250E-1,-6.579629114E-1,-3.092702871E0,-2.860785341E0
4.235036250E-1,-2.207452548E-1,-2.862660543E0,-3.187780352E0
4.334786250E-1,-1.620532429E-1,-2.842215169E0,-3.259344424E0
4.434546250E-1,-5.184001064E-1,-6.957806557E-1,7.868002418E-1
4.534296250E-1,-5.564417991E-1,-2.737900257E-2,1.316466690E0
4.634046250E-1,-9.752053508E-1,4.976863450E-1,1.845142694E0
4.733796250E-1,-2.061198774E0,4.391235566E-1,1.077222015E0
4.833546250E-1,-2.074547967E0,4.361145794E-1,1.063264711E0
4.933306250E-1,-3.946300462E0,-6.115029824E0,-2.734307728E0
5.033056250E-1,-7.391070619E-1,-8.293974856E0,-1.262099279E0
5.132806250E-1,1.293985900E0,-5.855536240E0,2.070265174E-2
5.232556250E-1,1.707055433E0,-2.773267726E0,1.028538097E0
5.332306250E-1,1.697160483E0,-2.777604021E0,1.065589564E0
5.432066250E-1,9.494194221E-1,-2.493515879E0,1.362586019E0
5.531816250E-1,1.081580529E0,-2.345650905E0,8.445636427E-1
5.631566250E-1,1.015803446E0,-1.491938124E0,4.834150457E-1
5.731316250E-1,1.042815828E0,4.108230329E-1,1.642869524E-1
5.831066250E-1,1.069480594E0,4.157773787E-1,1.968641297E-1
5.930816250E-1,-1.797566239E0,1.658068630E0,-2.210840424E0
6.030576250E-1,-2.488279697E0,9.604121876E-1,-1.672362149E0
6.130326250E-1,-1.810087028E0,-4.168287081E-1,5.712496169E-1
6.230076250E-1,-5.251840460E-1,-5.074693215E-1,1.065035175E0
6.329826250E-1,-5.186853044E-1,-5.062221104E-1,1.071762981E0
6.429576250E-1,6.646696678E-1,2.139940596E-1,4.398812827E-1
6.529336250E-1,7.106299523E-1,4.892341948E-1,3.328738375E-1
6.629086250E-1,1.690772107E-1,3.106742620E-1,2.803587878E-1
6.728836250E-1,-5.622594863E-1,-2.890746474E-2,-9.046885148E-3
6.828586250E-1,-5.548311836E-1,-2.707845569E-2,-8.936811313E-3
6.928336250E-1,-1.369424045E0,5.008713233E-1,-5.926058777E-1
7.028096250E-1,-7.427266346E-1,1.839422947E-1,-1.338965607E-1
7.127846250E-1,-7.052584076E-1,-7.544533718E-1,2.755079377E-1
7.227596250E-1,-7.681316172E-1,-4.690542841E-1,1.410500443E-1
7.327346250E-1,-7.713850079E-1,-4.698565221E-1,1.409798046E-1
