"Time (s)","X (hPa)"
-5.626291250E-1,1.021656265E3
4.395178750E-1,1.021653290E3
1.441693875E0,1.021650314E3
2.443837875E0,1.021645355E3
3.445946875E0,1.021644821E3
3.801449875E0,1.021644516E3
4.870316875E0,1.021643066E3
5.939212875E0,1.021643066E3
7.008154875E0,1.021645432E3
8.077058875E0,1.021647263E3
9.146038875E0,1.021648941E3
1.021500188E1,1.021651535E3
1.128391888E1,1.021653824E3
1.235284987E1,1.021655045E3
1.342176987E1,1.021657639E3
1.449074487E1,1.021663055E3
1.555967288E1,1.021669998E3
1.662854987E1,1.021678314E3
1.769748788E1,1.021687241E3
1.876643487E1,1.021694489E3
1.983530987E1,1.021700287E3
2.090426788E1,1.021700287E3
2.197320587E1,1.021698914E3
2.304218588E1,1.021692200E3
2.411112487E1,1.021686020E3
2.518005987E1,1.021679153E3
2.624897787E1,1.021671753E3
2.731789087E1,1.021669388E3
2.838686088E1,1.021669388E3
2.945581487E1,1.021669464E3
3.052475388E1,1.021670227E3
3.159369788E1,1.021670227E3
3.266261088E1,1.021663742E3
3.373156688E1,1.021648407E3
3.480051187E1,1.021631699E3
3.586946188E1,1.021616516E3
3.693843288E1,1.021596527E3
3.800741188E1,1.021583710E3
3.907639687E1,1.021573029E3
4.014540487E1,1.021565170E3
4.121437388E1,1.021556625E3
4.228338388E1,1.021551285E3
4.335236687E1,1.021546478E3
4.442135687E1,1.021546478E3
4.549034288E1,1.021547928E3
4.655932287E1,1.021549454E3
4.762831187E1,1.021551666E3
4.869722088E1,1.021554489E3
4.976619588E1,1.021557770E3
5.083519587E1,1.021561050E3
5.190419488E1,1.021563721E3
5.297319087E1,1.021567154E3
5.404218588E1,1.021570587E3
5.511116687E1,1.021573410E3
5.618018088E1,1.021574860E3
5.724917588E1,1.021577377E3
5.831819787E1,1.021577835E3
5.938725088E1,1.021578217E3
6.045629088E1,1.021580124E3
6.152531188E1,1.021582108E3
6.259432687E1,1.021584778E3
6.366333087E1,1.021587677E3
6.473226288E1,1.021589355E3
6.580130787E1,1.021590729E3
6.687034787E1,1.021591034E3
6.793933188E1,1.021591339E3
6.900836987E1,1.021592178E3
7.007737688E1,1.021593475E3
7.114641688E1,1.021595306E3
7.221545988E1,1.021597824E3
7.328445487E1,1.021600342E3
7.435349887E1,1.021602249E3
7.542242988E1,1.021604385E3
7.649142687E1,1.021606293E3
7.756043688E1,1.021608353E3
7.862944387E1,1.021610107E3
7.969846288E1,1.021613007E3
8.076746088E1,1.021615524E3
8.183650788E1,1.021617813E3
8.290557287E1,1.021620407E3
8.397457287E1,1.021622925E3
8.504361787E1,1.021625214E3
8.611258988E1,1.021627045E3
8.718159387E1,1.021628418E3
8.825067788E1,1.021629791E3
8.931970988E1,1.021630478E3
9.038872387E1,1.021630707E3
9.145774387E1,1.021630478E3
9.252674687E1,1.021630707E3
9.359579588E1,1.021630478E3
9.466484288E1,1.021630859E3
9.573389388E1,1.021630859E3
9.680289588E1,1.021632614E3
9.787194688E1,1.021634064E3
9.894094987E1,1.021635513E3
1.000099599E2,1.021636810E3
1.010790069E2,1.021636810E3
1.021480129E2,1.021636505E3
1.032170249E2,1.021636200E3
1.042860089E2,1.021635513E3
1.053550189E2,1.021633682E3
1.064239949E2,1.021632614E3
1.074930359E2,1.021631699E3
1.085620349E2,1.021629562E3
1.096310429E2,1.021629562E3
1.107000749E2,1.021630096E3
1.117690499E2,1.021630096E3
1.128380849E2,1.021629562E3
1.139071309E2,1.021629562E3
1.149762169E2,1.021626434E3
1.160452539E2,1.021620712E3
1.171143019E2,1.021618423E3
1.181833239E2,1.021618195E3
1.192523329E2,1.021617355E3
1.203214139E2,1.021616287E3
1.213904809E2,1.021612625E3
1.224595479E2,1.021605148E3
1.235286219E2,1.021596756E3
1.245976279E2,1.021590271E3
1.256667389E2,1.021586609E3
1.267358209E2,1.021586609E3
1.278049019E2,1.021591110E3
1.288739049E2,1.021594696E3
1.299429399E2,1.021597977E3
1.310119879E2,1.021600952E3
1.320810679E2,1.021603317E3
1.331502189E2,1.021605148E3
1.342193139E2,1.021606522E3
1.352884119E2,1.021607971E3
1.363575779E2,1.021608963E3
1.374267179E2,1.021610031E3
1.384958299E2,1.021614914E3
1.395649729E2,1.021615753E3
1.406341089E2,1.021617203E3
1.417032049E2,1.021618042E3
1.427723279E2,1.021618042E3
1.438414319E2,1.021617432E3
1.449105909E2,1.021617432E3
1.459797549E2,1.021619949E3
1.470489229E2,1.021622925E3
1.481180639E2,1.021628189E3
1.491871269E2,1.021634674E3
1.502562139E2,1.021638260E3
1.513253339E2,1.021647339E3
1.523943909E2,1.021663971E3
1.534634819E2,1.021682053E3
1.545325749E2,1.021695709E3
1.556016379E2,1.021714630E3
1.566707159E2,1.021727905E3
1.577397919E2,1.021732941E3
1.588089179E2,1.021733170E3
1.598780699E2,1.021733551E3
1.609471799E2,1.021733856E3
1.620162769E2,1.021733551E3
1.630853919E2,1.021733475E3
1.641544789E2,1.021733170E3
1.652235489E2,1.021732941E3
1.662926309E2,1.021725159E3
1.673617169E2,1.021698608E3
1.684307929E2,1.021647110E3
1.694998749E2,1.021571045E3
1.705689269E2,1.021470642E3
1.716380359E2,1.021352158E3
1.727070759E2,1.021229477E3
1.737761999E2,1.021106491E3
1.748452479E2,1.020984192E3
1.759143369E2,1.020862274E3
1.769834389E2,1.020738144E3
