"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.458999970E-3,-9.847291112E-1,-3.376892328E0,1.877728224E0
1.343399996E-2,-8.775289655E-1,-3.540182352E0,1.664891720E0
2.340900002E-2,-1.102046490E0,-2.784470320E0,1.071619630E0
3.338500002E-2,-1.653569579E0,-1.450681210E0,1.513768733E-1
4.336000001E-2,-2.189671040E0,-3.378910124E-1,-7.907262444E-1
5.333600001E-2,-2.486220121E0,7.142046094E-2,-1.504910946E0
6.331100001E-2,-2.564869642E0,-3.710283339E-1,-1.760905504E0
7.328700001E-2,-2.465428829E0,-9.088807106E-1,-1.766072154E0
8.326200000E-2,-2.127133608E0,-1.385285378E0,-1.607108593E0
9.323800000E-2,-1.700760722E0,-1.825188041E0,-1.415048242E0
1.032130000E-1,-1.341501117E0,-2.096476078E0,-1.220398784E0
1.131880000E-1,-1.086282730E0,-2.315480471E0,-1.053173900E0
1.231640000E-1,-9.480752945E-1,-2.630311966E0,-8.166677356E-1
1.331390000E-1,-9.080146551E-1,-2.820072412E0,-5.257868171E-1
1.431150000E-1,-8.941233158E-1,-2.724658012E0,-3.030744195E-1
1.530900000E-1,-8.507375717E-1,-2.575588465E0,-1.686489135E-1
1.630660000E-1,-9.788161516E-1,-2.279519796E0,-1.733794957E-1
1.730410000E-1,-1.317672849E0,-1.766701460E0,-1.646000445E-1
1.830170000E-1,-1.700282574E0,-1.210113525E0,1.248524897E-2
1.929920000E-1,-1.894170880E0,-8.519349098E-1,1.642261744E-1
2.029670000E-1,-1.829664111E0,-6.134770513E-1,3.192037642E-1
2.129430000E-1,-1.634254217E0,-3.382314146E-1,4.128684402E-1
2.229180000E-1,-1.410081029E0,-1.505027860E-1,3.929956555E-1
2.328940000E-1,-1.111787558E0,-2.367767394E-1,3.504991233E-1
2.428690000E-1,-7.532584667E-1,-5.412530303E-1,3.073375523E-1
2.528450000E-1,-4.203381538E-1,-9.032595754E-1,3.321685791E-1
2.628200000E-1,-1.859613359E-1,-1.096475124E0,4.005894661E-1
