"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.871124994E-3,-5.437195735E-1,-1.015140957E-1,2.652788186E-1
1.384712500E-2,-4.286894926E-1,-5.492815912E-2,1.836610802E-1
2.382312500E-2,-3.203310849E-1,-4.162866712E-2,1.077770483E-1
3.379912500E-2,-2.689834683E-1,-3.598551929E-2,5.274426062E-2
4.377612501E-2,-2.974618936E-1,-2.903142571E-2,-1.638155937E-2
5.375212501E-2,-3.439320552E-1,-5.553334594E-2,-8.977814913E-2
6.372812501E-2,-4.294671723E-1,-5.394699633E-2,-1.022350391E-1
7.370512502E-2,-4.755091716E-1,-4.547028780E-2,-3.117269436E-2
8.368112502E-2,-4.738737054E-1,-4.429031968E-2,1.136617045E-1
9.365712502E-2,-4.634397876E-1,-7.529927373E-2,2.457842016E-1
1.036331250E-1,-4.310475285E-1,-1.254812479E-1,3.202894235E-1
1.136101250E-1,-3.916365641E-1,-3.265377581E-2,3.204250789E-1
1.235861250E-1,-3.433409017E-1,-6.792008758E-2,2.617295770E-1
1.335621250E-1,-3.268212019E-1,-1.010977739E-1,1.932995939E-1
1.435391250E-1,-3.526321274E-1,-8.191656768E-2,1.154859992E-1
1.535151250E-1,-3.240610237E-1,6.790956259E-3,7.369364658E-2
1.634911250E-1,-2.727420585E-1,6.523329198E-2,1.124057043E-1
1.734671250E-1,-2.044975966E-1,3.407114089E-2,2.014856776E-1
1.834441250E-1,-1.475810918E-1,-5.334122479E-2,2.976373100E-1
1.934201250E-1,-1.458870073E-1,-5.381017148E-2,3.616467798E-1
2.033961250E-1,-1.547372067E-1,-5.620051324E-2,3.675396037E-1
2.133731250E-1,-1.360112062E-1,-2.668142974E-2,3.503663313E-1
2.233491250E-1,-1.486135639E-1,-5.282199204E-2,2.903423603E-1
2.333251250E-1,-1.319247334E-1,-8.152714312E-2,2.158394408E-1
2.433011250E-1,-1.116465895E-1,-7.508292675E-2,2.089537597E-1
2.532781250E-1,-9.561703250E-2,-1.391403437E-2,2.290751982E-1
2.632541250E-1,-9.490352601E-2,2.521027029E-2,2.748144579E-1
2.732301250E-1,-1.028557393E-1,8.379586279E-2,3.835048413E-1
2.832071250E-1,-1.170568720E-1,-5.062519312E-2,4.690121841E-1
2.931831250E-1,-1.476030189E-1,-2.146980643E-2,5.137316895E-1
3.031591250E-1,-1.556271529E-1,1.635466218E-3,4.891102338E-1
3.131351250E-1,-1.666156791E-1,-3.191819608E-2,5.010666203E-1
3.231121250E-1,-1.624967542E-1,-7.305394292E-2,5.360844254E-1
3.330881250E-1,-1.312344696E-1,2.846424580E-3,5.768406880E-1
3.430641250E-1,-7.383644655E-2,1.424551302E-1,5.295378828E-1
3.530411250E-1,-2.398118556E-2,1.605820835E-1,4.134659743E-1
3.630171250E-1,2.849245861E-2,1.788932240E-1,2.565699756E-1
3.729931250E-1,8.789461479E-2,2.774825424E-1,1.123273333E-1
3.829691250E-1,1.234645432E-1,3.645967001E-1,-1.130032897E-2
3.929461250E-1,1.424963531E-1,3.444390088E-1,-5.840666771E-2
4.029221250E-1,2.028172530E-1,3.598961234E-1,-3.950614611E-2
4.128981250E-1,2.972755136E-1,2.958901620E-1,-9.636229668E-3
4.228741250E-1,3.625036892E-1,9.973537266E-2,-4.143450301E-2
4.328511250E-1,4.397258198E-1,-4.352725804E-2,-1.249269136E-1
4.428271250E-1,4.937899067E-1,-5.090410531E-2,-2.889998031E-1
4.528031250E-1,5.302687848E-1,-1.186364973E-1,-2.523412693E-1
4.627801250E-1,5.567395686E-1,-1.293088353E-1,1.760125201E-2
4.727560417E-1,4.777124025E-1,-2.888524532E-3,1.530754646E-1
4.827320417E-1,3.821846862E-1,8.625812531E-3,1.009346731E-1
4.927080417E-1,1.467013782E-1,3.244561493E-2,9.170425851E-2
5.026850417E-1,-1.855438471E-2,3.612000525E-2,1.634425414E-1
5.126610417E-1,-8.773571670E-2,6.565838456E-3,3.161694753E-1
5.226370417E-1,-7.043585211E-2,-4.019142151E-2,5.503282793E-1
5.326140417E-1,5.057329908E-2,-1.466569394E-1,7.072114507E-1
5.425900417E-1,3.225215980E-1,-1.851883364E-1,8.393023912E-1
5.525660417E-1,6.544285619E-1,-1.572977024E-1,8.624373385E-1
5.625420417E-1,9.549425559E-1,-1.792282695E-1,8.283071407E-1
5.725190417E-1,1.160118576E0,-2.172860420E-1,7.403651635E-1
5.824950417E-1,1.208083286E0,-2.238103652E-1,6.564469477E-1
5.924710417E-1,1.074230141E0,-1.021812630E-1,6.109802778E-1
6.024480417E-1,7.842577994E-1,5.079710126E-2,5.702392181E-1
6.124240417E-1,4.826126616E-1,2.393955338E-1,4.796166214E-1
6.224000417E-1,1.266467442E-1,3.794158834E-1,5.594884908E-1
6.323760417E-1,-8.789388388E-3,4.699155790E-1,6.714825511E-1
6.423530417E-1,5.596077740E-3,5.676418483E-1,8.019831220E-1
6.523290417E-1,9.700881600E-2,5.503972399E-1,8.866484658E-1
6.623050417E-1,1.717324314E-1,4.488533235E-1,8.608107162E-1
6.722810417E-1,3.115517829E-1,3.595727724E-1,7.313804050E-1
6.822580417E-1,3.540551935E-1,2.847974092E-1,6.788418567E-1
6.922340417E-1,2.890658766E-1,2.527505744E-1,6.947381703E-1
7.022100417E-1,3.056605670E-1,5.220253801E-1,6.129050716E-1
7.121870417E-1,3.324799910E-1,6.204299265E-1,6.890382314E-1
7.221630417E-1,4.081222039E-1,6.655628300E-1,9.164107203E-1
7.321390417E-1,6.146372361E-1,7.500568503E-1,1.109503250E0
7.421150417E-1,7.963765924E-1,7.380624568E-1,1.241807102E0
7.520920417E-1,9.471765764E-1,6.244966650E-1,1.302607620E0
7.620680417E-1,1.039743409E0,4.637274706E-1,1.289064299E0
7.720440417E-1,1.007783844E0,2.778134948E-1,1.196432855E0
7.820210417E-1,8.010091951E-1,9.656501234E-2,1.226453337E0
7.919970417E-1,7.148305920E-1,2.495550710E-1,8.285587171E-1
8.019730417E-1,5.833248116E-1,2.563805258E-1,5.991921084E-1
8.119490417E-1,4.247158711E-1,2.817200196E-1,5.646985792E-1
8.219260417E-1,2.039634535E-1,2.439703953E-1,7.998769549E-1
8.319020417E-1,1.157361321E-1,1.492168504E-1,1.188978678E0
8.418780417E-1,2.401952867E-1,1.728378475E-2,1.717499291E0
8.518540417E-1,5.624213080E-1,-8.496706009E-2,2.268292973E0
