"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.843650200E-2,-2.679111719E0,1.244984865E0,9.361627579E0
6.843650200E-2,-2.794033289E0,1.244984865E0,9.258677483E0
7.843650200E-2,-2.889801502E0,1.438915253E0,8.904335022E0
8.843650200E-2,-2.753331900E0,1.383848548E0,8.875604630E0
9.843650200E-2,-2.789244890E0,1.280897856E0,9.019257545E0
1.084382520E-1,-2.885013103E0,1.268926859E0,9.026439667E0
1.184382520E-1,-2.822763920E0,1.326387763E0,8.868422508E0
1.284382520E-1,-2.916137695E0,1.359906554E0,8.746317863E0
1.384382520E-1,-3.126827478E0,1.395819545E0,8.686463356E0
1.484382520E-1,-3.126827478E0,1.371877551E0,8.767866135E0
1.584382520E-1,-3.143586874E0,1.525106430E0,9.158121109E0
1.684382520E-1,-3.201047659E0,1.565807939E0,9.325715065E0
1.784382520E-1,-3.236960649E0,1.695094824E0,9.653720856E0
1.884382520E-1,-3.339911461E0,1.666364431E0,9.828496933E0
1.984382520E-1,-3.473986626E0,1.728613615E0,1.010861874E1
2.084382520E-1,-3.483563423E0,1.659181833E0,1.011340714E1
2.184382520E-1,-3.380612850E0,1.498770237E0,9.902717590E0
2.284382520E-1,-3.426102638E0,1.477222443E0,9.684844971E0
2.384382520E-1,-3.236960649E0,1.386242747E0,9.191639900E0
2.484382520E-1,-3.162740469E0,1.379060149E0,9.038411140E0
2.584382520E-1,-3.157952070E0,1.264138460E0,8.789413452E0
2.684382520E-1,-3.280056238E0,1.364694953E0,8.686463356E0
2.784382520E-1,-3.335123062E0,1.467645645E0,8.540416718E0
2.884382520E-1,-3.426102638E0,1.525106430E0,8.473379135E0
2.984382520E-1,-3.385401249E0,1.558625340E0,8.394370079E0
3.084382520E-1,-3.323152065E0,1.517923832E0,8.377611160E0
3.184382520E-1,-3.287238836E0,1.549048543E0,8.360851288E0
3.284385210E-1,-3.280056238E0,1.534683347E0,8.425495148E0
3.384385210E-1,-3.332728863E0,1.563413739E0,8.722375870E0
3.484385210E-1,-3.418920040E0,1.551442742E0,9.009679794E0
3.584387620E-1,-3.409343243E0,1.429338455E0,9.466972351E0
3.684387620E-1,-3.423708439E0,1.460463047E0,9.675268173E0
3.784387620E-1,-3.366247654E0,1.386242747E0,9.780612946E0
3.884387620E-1,-3.313575268E0,1.362300754E0,9.596260071E0
3.984387620E-1,-3.035847664E0,1.242590666E0,9.148544312E0
4.084385280E-1,-2.990357876E0,1.185129881E0,8.827720642E0
4.184385280E-1,-2.971204281E0,1.379060149E0,8.401553154E0
4.284385280E-1,-2.968810081E0,1.551442742E0,8.382399559E0
4.384385280E-1,-2.930502892E0,1.649604917E0,8.849268913E0
4.484385280E-1,-3.098097086E0,1.561019540E0,9.179668427E0
4.584385280E-1,-3.361459255E0,1.651999116E0,9.486125946E0
4.684385280E-1,-3.220201254E0,1.582567334E0,9.409511566E0
4.784385280E-1,-2.861071110E0,1.252167463E0,8.573935509E0
4.884385280E-1,-2.712630510E0,1.209071875E0,8.142979622E0
4.984385280E-1,-2.767697096E0,1.252167463E0,7.592312813E0
5.084385280E-1,-2.540247917E0,1.180341482E0,7.441478252E0
5.184385280E-1,-2.715024710E0,1.393425345E0,7.623437405E0
5.284385280E-1,-2.980781078E0,1.656787634E0,8.109460831E0
5.384385280E-1,-3.610456228E0,1.699883223E0,9.000102997E0
5.484385280E-1,-3.900154591E0,1.912967205E0,9.462183952E0
5.584385280E-1,-4.297592163E0,2.224213362E0,1.026184750E1
5.684385280E-1,-4.560954094E0,2.401384354E0,1.048690319E1
5.784385280E-1,-4.122815132E0,2.090138197E0,1.100165653E1
5.884385280E-1,-3.689464808E0,1.721431017E0,1.050605679E1
5.984385280E-1,-2.425326347E0,1.098938584E0,9.773430824E0
6.084387610E-1,-2.631227732E0,6.919242740E-1,9.217975616E0
6.184387610E-1,-2.540247917E0,8.259995580E-1,8.657732964E0
6.284385270E-1,-2.753331900E0,8.427590132E-1,8.482955933E0
6.384385270E-1,-3.201047659E0,1.051054597E0,8.049605370E0
