"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.843650200E-2,-2.886338346E-2,-2.084577642E-2,-1.527163084E-3
3.109999200E-2,1.568396538E-1,9.854401588E0,-4.230241776E-1
4.109999200E-2,-1.298088674E-2,-1.100321040E-1,4.978551716E-2
5.109999200E-2,1.756237634E-2,-7.338018715E-2,4.856378585E-2
6.109999200E-2,7.254024595E-2,-4.963280167E-3,4.673119262E-2
7.109999200E-2,9.269879758E-2,4.329507425E-2,3.451388702E-2
8.109999200E-2,8.048149943E-2,3.962988406E-2,1.924225502E-2
9.109999200E-2,4.871650413E-2,2.680171281E-2,1.435533352E-2
1.010999920E-1,2.306016348E-2,4.634939879E-2,9.468411095E-3
1.111008670E-1,1.267545391E-2,4.940372705E-2,-1.527163084E-3
1.211008670E-1,1.939497143E-2,3.535382450E-2,-1.374446787E-2
1.311008670E-1,3.405573592E-2,3.168863431E-2,-2.290744707E-2
1.411008670E-1,3.894266114E-2,1.763873361E-2,-2.840523422E-2
1.511008670E-1,2.183843218E-2,4.810563754E-3,-3.084869497E-2
1.611008670E-1,-1.420261711E-2,-1.962404512E-2,-3.940080851E-2
1.711008670E-1,-2.641992271E-2,-3.856086731E-2,-4.673119262E-2
1.811008670E-1,-3.252857551E-2,-3.978259861E-2,-5.039638281E-2
1.911008670E-1,-3.008511290E-2,-3.550654277E-2,-5.650503561E-2
2.011008670E-1,-1.298088674E-2,-3.795000166E-2,-5.650503561E-2
2.111008670E-1,2.061670274E-2,-3.856086731E-2,-5.955936015E-2
2.211008670E-1,7.925976813E-2,-1.298088697E-3,-6.017022580E-2
2.311008670E-1,1.232420653E-1,3.962988406E-2,-6.383541971E-2
2.411008670E-1,1.482875347E-1,7.567093521E-2,-5.772676691E-2
2.511008670E-1,1.452332139E-1,1.092685238E-1,-5.528330430E-2
2.611008670E-1,1.348485053E-1,1.324813962E-1,-5.833763257E-2
2.711008670E-1,1.183551401E-1,1.385900527E-1,-6.750060618E-2
2.811008670E-1,9.880745411E-2,1.392009109E-1,-6.322455406E-2
2.911008670E-1,7.498370856E-2,1.227075532E-1,-5.222897977E-2
3.011008670E-1,4.260785133E-2,9.460775554E-2,-3.940080851E-2
3.111008670E-1,1.756237634E-2,7.872525603E-2,-2.718350291E-2
3.211008670E-1,-3.207042580E-3,5.917757004E-2,-1.618792862E-2
3.311011000E-1,-2.947424725E-2,3.046690486E-2,-1.527163084E-3
3.411011000E-1,-6.368270516E-2,-1.046106778E-2,1.130100712E-2
3.511011000E-1,-9.361509979E-2,-5.077817291E-2,1.374446787E-2
3.611013330E-1,-1.046106741E-1,-8.804095536E-2,1.313360315E-2
3.711013330E-1,-8.567385375E-2,-1.051451787E-1,1.069014147E-2
3.811013330E-1,-4.046982154E-2,-1.045343131E-1,1.313360315E-2
3.911013330E-1,1.817324013E-2,-8.620835841E-2,1.740965992E-2
4.011013330E-1,6.582073122E-2,-4.711298272E-2,1.985312067E-2
