"Time (s)","X (hPa)"
2.973650200E-2,1.017814453E3
1.323999920E-1,1.017766602E3
2.323999920E-1,1.017775635E3
3.323999920E-1,1.017770996E3
4.323999920E-1,1.017769531E3
5.323999920E-1,1.017770508E3
6.323999920E-1,1.017780762E3
7.323999920E-1,1.017800293E3
8.323999920E-1,1.017801514E3
9.323999920E-1,1.017825684E3
1.032399992E0,1.017820801E3
1.132399992E0,1.017815674E3
1.232399992E0,1.017815674E3
1.332399992E0,1.017818115E3
1.432399992E0,1.017794189E3
1.532399992E0,1.017794189E3
1.632399992E0,1.017795410E3
1.732399992E0,1.017756836E3
1.832399992E0,1.017756836E3
1.932399992E0,1.017752686E3
2.032399992E0,1.017813721E3
2.132399992E0,1.017813721E3
2.232399992E0,1.017830811E3
2.332399992E0,1.017843262E3
2.432399992E0,1.017843262E3
2.532399992E0,1.017909424E3
2.632399992E0,1.017870361E3
2.732399992E0,1.017870361E3
2.832399992E0,1.017846924E3
2.932399992E0,1.017828125E3
3.032399992E0,1.017828125E3
3.132399992E0,1.017783447E3
3.232399992E0,1.017759766E3
3.332399992E0,1.017746094E3
3.432399992E0,1.017743652E3
3.532399992E0,1.017744141E3
3.632399992E0,1.017746338E3
3.732399992E0,1.017739746E3
3.832399992E0,1.017757324E3
3.932399992E0,1.017760010E3
4.032399992E0,1.017739990E3
4.132399992E0,1.017719727E3
4.233429460E0,1.017706055E3
4.333429460E0,1.017707520E3
4.433429460E0,1.017703125E3
4.533429460E0,1.017714844E3
4.633429460E0,1.017717529E3
4.733429460E0,1.017721436E3
4.833429460E0,1.017761475E3
4.933429460E0,1.017773682E3
5.033429460E0,1.017800049E3
5.133429460E0,1.017822510E3
5.233429460E0,1.017842285E3
5.333429460E0,1.017827637E3
5.433429460E0,1.017821045E3
5.533429460E0,1.017826172E3
5.633429460E0,1.017800049E3
5.733429460E0,1.017792969E3
5.833429460E0,1.017770996E3
5.933429460E0,1.017790039E3
6.033429460E0,1.017773926E3
6.133429460E0,1.017779297E3
6.233429460E0,1.017767090E3
6.333429460E0,1.017767090E3
6.433429460E0,1.017787842E3
6.533429460E0,1.017825439E3
6.633429460E0,1.017825439E3
6.733429460E0,1.017853271E3
6.833429460E0,1.017834229E3
6.933429460E0,1.017834229E3
7.033429460E0,1.017827148E3
7.133429460E0,1.017824951E3
7.233429460E0,1.017824951E3
7.333429460E0,1.017774170E3
7.433429460E0,1.017753418E3
7.533429460E0,1.017753418E3
7.633429460E0,1.017706299E3
7.733429460E0,1.017682617E3
7.833429460E0,1.017682617E3
7.933429460E0,1.017713623E3
8.033429460E0,1.017747803E3
8.133429460E0,1.017747803E3
8.233429460E0,1.017786621E3
8.333429460E0,1.017815674E3
8.433429460E0,1.017822998E3
8.533429460E0,1.017824219E3
8.633429460E0,1.017797607E3
8.733429460E0,1.017770508E3
8.833429460E0,1.017769043E3
8.933429460E0,1.017771973E3
9.033429460E0,1.017745605E3
9.133429460E0,1.017743164E3
9.233429460E0,1.017772949E3
9.333429460E0,1.017802002E3
9.433429460E0,1.017781006E3
9.533429460E0,1.017801514E3
9.633429460E0,1.017795654E3
9.733429460E0,1.017791016E3
9.833429460E0,1.017801514E3
9.933429460E0,1.017801514E3
1.003342946E1,1.017793457E3
1.013342946E1,1.017760742E3
1.023342946E1,1.017755127E3
1.033342946E1,1.017753418E3
1.043342946E1,1.017791260E3
1.053342946E1,1.017805908E3
1.063342946E1,1.017810791E3
1.073342946E1,1.017796143E3
1.083342946E1,1.017796143E3
1.093342946E1,1.017798584E3
