"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.304324000E-3,2.440500110E-1,-8.998950005E0,-7.950000167E-1
1.838925100E-2,4.650000334E-1,-9.658950806E0,1.153050065E0
2.847159600E-2,-1.570500135E-1,-8.911950111E0,1.627050042E0
3.855629800E-2,-2.479500175E-1,-8.914950371E0,6.790500283E-1
4.864122100E-2,-1.930500120E-1,-9.520950317E0,1.429500133E-1
5.872637500E-2,-3.705000132E-2,-9.571050644E0,-8.805000782E-2
6.881109600E-2,2.280000150E-1,-9.516000748E0,-1.579500139E-1
7.889600000E-2,2.370000184E-1,-9.537000656E0,-1.695000008E-2
8.898090800E-2,9.105000645E-2,-9.487050056E0,2.860500216E-1
9.906583600E-2,-8.505000174E-2,-9.439050674E0,5.620500445E-1
1.091507540E-1,-1.450500041E-1,-9.457950592E0,5.430000424E-1
1.192356770E-1,-1.450500041E-1,-9.588000298E0,2.959500253E-1
1.293206150E-1,-5.595000088E-2,-9.868050575E0,5.400000140E-2
1.394055390E-1,-1.540500075E-1,-9.934950829E0,-7.050000131E-3
1.494904520E-1,-2.639999986E-1,-1.006905079E1,-1.319999993E-1
1.595754040E-1,-2.380500138E-1,-1.009500027E1,-2.059500068E-1
1.696603410E-1,-1.969500035E-1,-1.016895008E1,-5.295000225E-2
1.797451890E-1,-2.449500114E-1,-1.018095016E1,1.399500072E-1
1.898301680E-1,-2.449500114E-1,-1.032300091E1,2.290500104E-1
1.999151030E-1,-9.705000371E-2,-1.036605072E1,3.679500222E-1
2.100000260E-1,-1.060500070E-1,-1.022400093E1,5.710500479E-1
2.200849730E-1,7.050000131E-3,-1.025595093E1,6.259500384E-1
2.301698860E-1,4.099500179E-1,-1.018095016E1,4.590000212E-1
2.402548190E-1,3.550500274E-1,-1.005000019E1,3.769500256E-1
2.503397270E-1,-9.000000358E-2,-9.801000595E0,7.249500155E-1
2.604245740E-1,-1.180500090E-1,-9.475050926E0,8.730000257E-1
2.705095100E-1,-2.140500098E-1,-9.078000069E0,6.120000482E-1
2.805944470E-1,3.190500140E-1,-9.418050766E0,6.259500384E-1
2.906793600E-1,4.800000042E-2,-9.370050430E0,-2.400000021E-2
3.007642780E-1,1.390500069E-1,-9.114000320E0,7.095000148E-2
3.108492160E-1,2.419500053E-1,-9.328950882E0,2.629500031E-1
3.209341100E-1,-6.599999964E-2,-9.640050888E0,1.810500026E-1
3.310190390E-1,-2.089500129E-1,-9.634950638E0,1.450500041E-1
3.411039630E-1,-5.020500422E-1,-9.742950439E0,4.695000127E-2
3.511888870E-1,-7.630500197E-1,-9.741000175E0,1.800000109E-2
3.612738340E-1,-8.820000291E-1,-9.396000862E0,1.789500117E-1
3.713587570E-1,-8.080500364E-1,-9.228000641E0,3.940500319E-1
3.814436800E-1,-4.390500188E-1,-9.327000618E0,3.820500076E-1
3.915283720E-1,-2.310000062E-1,-9.396000862E0,5.380499959E-1
4.016132690E-1,4.095000029E-2,-9.769950867E0,-3.229500055E-1
4.116984370E-1,1.249500066E-1,-1.001100063E1,2.190000117E-1
4.217833430E-1,2.610000074E-1,-1.013100052E1,2.070000172E-1
4.318680170E-1,3.760500252E-1,-1.016700077E1,1.330500096E-1
4.419531490E-1,3.400500119E-1,-1.014105034E1,1.800000109E-2
4.520378430E-1,3.280500174E-1,-9.963000298E0,3.705000132E-2
4.621227690E-1,3.550500274E-1,-9.858000755E0,2.100000158E-2
4.722077020E-1,2.490000129E-1,-9.922950745E0,1.800000109E-2
4.822926100E-1,1.540500075E-1,-9.793950081E0,9.705000371E-2
4.923775330E-1,1.249500066E-1,-9.657000542E0,9.000000358E-2
5.024624570E-1,1.680000126E-1,-9.625950813E0,1.069500074E-1
5.125473800E-1,2.250000089E-1,-9.645000458E0,1.330500096E-1
5.226322430E-1,3.139500022E-1,-9.561000824E0,5.700000376E-2
5.327171490E-1,3.349500299E-1,-9.465000153E0,2.805000171E-2
5.428021540E-1,3.090000153E-1,-9.499050140E0,-1.695000008E-2
5.528870740E-1,2.299500108E-1,-9.588000298E0,6.000000052E-3
5.629719730E-1,1.180500090E-1,-9.673950195E0,6.900000572E-2
5.730568040E-1,1.249500066E-1,-9.754950523E0,9.705000371E-2
5.831417440E-1,1.680000126E-1,-9.822000504E0,3.299999982E-2
5.932266470E-1,2.230500132E-1,-9.813000679E0,-3.299999982E-2
6.033115760E-1,3.469500244E-1,-9.769950867E0,-3.600000218E-2
6.133965230E-1,4.740000367E-1,-9.745950699E0,-2.595000155E-2
6.234814460E-1,5.869500041E-1,-9.745950699E0,-6.405000389E-2
6.335663690E-1,5.730000138E-1,-9.736050606E0,-6.405000389E-2
6.436512870E-1,5.629500151E-1,-9.781949997E0,-5.700000376E-2
6.537359860E-1,5.890500546E-1,-9.796050072E0,-7.200000435E-2
6.638208880E-1,5.530500412E-1,-9.774000168E0,-7.200000435E-2
6.739060710E-1,5.460000038E-1,-9.808050156E0,-3.299999982E-2
6.839907420E-1,5.680500269E-1,-9.858000755E0,-1.905000024E-2
6.940756630E-1,5.940000415E-1,-9.880050659E0,4.500000179E-2
7.041605860E-1,6.280500293E-1,-9.918000221E0,9.300000221E-2
7.142455180E-1,8.170500398E-1,-9.898950577E0,1.620000005E-1
7.243304360E-1,1.012950063E0,-9.882000923E0,2.479500175E-1
7.344153740E-1,1.153950095E0,-9.789000511E0,2.149500102E-1
7.445002420E-1,1.087050080E0,-9.682950020E0,1.789500117E-1
7.545852400E-1,1.030050039E0,-9.661950111E0,2.119500041E-1
7.646701790E-1,9.220500588E-1,-9.633000374E0,2.980500162E-1
7.747550450E-1,8.100000620E-1,-9.571050644E0,3.580500185E-1
7.848399570E-1,6.400500536E-1,-9.516000748E0,4.060500264E-1
7.949248800E-1,4.669500291E-1,-9.523050308E0,4.680000246E-1
8.050098030E-1,3.240000010E-1,-9.513000488E0,5.590500236E-1
8.150947350E-1,2.560500205E-1,-9.499050140E0,6.000000238E-1
8.251796680E-1,2.130000144E-1,-9.477000237E0,5.430000424E-1
8.352643810E-1,1.080000028E-1,-9.460950851E0,4.399500191E-1
8.453492790E-1,1.459500045E-1,-9.525000572E0,3.700500131E-1
8.554342260E-1,3.280500174E-1,-9.607050896E0,3.730500042E-1
8.655191590E-1,4.699500203E-1,-9.613950729E0,3.100500107E-1
8.756039920E-1,5.989500284E-1,-9.717000008E0,1.639500111E-1
8.856889950E-1,7.399500608E-1,-9.829050064E0,-3.600000218E-2
8.957739250E-1,7.710000277E-1,-9.913050652E0,-2.110500038E-1
9.058588530E-1,7.140000463E-1,-9.961050034E0,-2.989500165E-1
9.159436990E-1,5.680500269E-1,-9.942000389E0,-4.399500191E-1
9.260286200E-1,3.499500155E-1,-9.886950493E0,-5.340000391E-1
9.361135440E-1,2.329500169E-1,-9.810000420E0,-4.360500276E-1
9.461984670E-1,9.600000083E-2,-9.849000931E0,-3.730500042E-1
9.562833940E-1,-3.495000303E-2,-9.861000061E0,-2.490000129E-1
9.663683170E-1,-1.180500090E-1,-9.766950607E0,-1.630500108E-1
9.764530110E-1,-1.420500129E-1,-9.714000702E0,-6.900000572E-2
9.865381590E-1,-1.260000020E-1,-9.729000092E0,-2.100000158E-2
9.966228330E-1,-1.039500013E-1,-9.691050529E0,-1.905000024E-2
1.006707764E0,-1.780500114E-1,-9.613950729E0,-6.705000252E-2
1.016792678E0,-3.439500034E-1,-9.552000046E0,-1.050000042E-1
1.026877601E0,-4.969500303E-1,-9.517950058E0,-1.290000081E-1
1.036962539E0,-6.240000129E-1,-9.537000656E0,-2.340000123E-1
1.047047452E0,-6.810000539E-1,-9.585000038E0,-3.330000043E-1
1.057132300E0,-6.859500408E-1,-9.601950645E0,-4.240500331E-1
1.067217235E0,-6.810000539E-1,-9.634950638E0,-5.430000424E-1
1.077302163E0,-6.670500040E-1,-9.691050529E0,-6.130500436E-1
1.087387067E0,-6.090000272E-1,-9.724050522E0,-6.420000196E-1
1.097471990E0,-4.489500225E-1,-9.721950531E0,-6.130500436E-1
1.107556914E0,-2.599500120E-1,-9.738000870E0,-5.460000038E-1
1.117641842E0,-3.705000132E-2,-9.805050850E0,-5.149500370E-1
1.127726536E0,-6.000000052E-3,-9.865050316E0,-5.269500017E-1
1.137811452E0,-1.279500127E-1,-9.907950401E0,-5.670000315E-1
1.147896375E0,-2.599500120E-1,-9.946950912E0,-6.610500216E-1
1.157981269E0,-2.689500153E-1,-1.001400089E1,-6.180000305E-1
1.168066173E0,-2.670000196E-1,-1.004505062E1,-5.410500169E-1
1.178151026E0,-2.359500080E-1,-1.005000019E1,-4.189500213E-1
1.188235947E0,-3.000000119E-2,-1.001595020E1,-3.330000043E-1
1.198320866E0,1.560000032E-1,-9.918000221E0,-3.900000155E-1
1.208405789E0,2.470500171E-1,-9.694950104E0,-4.830000103E-1
1.218490702E0,3.910500109E-1,-9.513000488E0,-4.950000346E-1
1.228575615E0,5.080500245E-1,-9.517950058E0,-4.740000367E-1
1.238660543E0,5.610000491E-1,-9.613950729E0,-5.239500403E-1
1.248745452E0,4.050000310E-1,-9.633000374E0,-5.839500427E-1
1.258830375E0,2.520000041E-1,-9.631050110E0,-5.860500336E-1
1.268915055E0,1.390500069E-1,-9.643050194E0,-5.430000424E-1
1.278999986E0,4.605000094E-2,-9.753000259E0,-5.100000501E-1
1.289084899E0,-7.995000482E-2,-9.790950775E0,-4.690500200E-1
1.299169812E0,-2.260500044E-1,-9.748050690E0,-4.380000234E-1
1.309254735E0,-2.569500208E-1,-9.718950272E0,-4.380000234E-1
1.319339654E0,-1.999500096E-1,-9.714000702E0,-4.480500221E-1
1.329424497E0,-1.180500090E-1,-9.685950279E0,-4.360500276E-1
1.339509418E0,-8.700000495E-2,-9.667050362E0,-4.309500158E-1
1.349594346E0,-1.230000034E-1,-9.664050102E0,-4.039500058E-1
1.359679050E0,-1.620000005E-1,-9.646950722E0,-3.400500119E-1
1.369763976E0,-1.690500081E-1,-9.604050636E0,-3.250500262E-1
1.379848889E0,-1.469999999E-1,-9.691050529E0,-3.540000021E-1
1.389933817E0,-1.519500017E-1,-9.742950439E0,-4.639500082E-1
1.400018740E0,-1.350000054E-1,-9.796050072E0,-5.629500151E-1
1.410103668E0,-7.304999977E-2,-9.850950241E0,-5.980500579E-1
1.420188517E0,3.600000218E-2,-9.889050484E0,-6.370500326E-1
1.430273419E0,1.699500084E-1,-9.928050041E0,-7.180500627E-1
1.440358342E0,1.819500029E-1,-9.918000221E0,-7.759500146E-1
1.450443269E0,8.400000632E-2,-9.930000305E0,-7.680000067E-1
1.460528202E0,-5.100000277E-2,-9.973050117E0,-7.230000496E-1
1.470613115E0,-1.590000093E-1,-1.000695038E1,-6.319500208E-1
1.480697809E0,-2.260500044E-1,-9.946950912E0,-5.359500051E-1
