"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.838925100E-2,-6.756749749E-1,7.507500052E-2,-1.608750038E-2
2.847159600E-2,-4.361499846E-1,-8.882500231E-2,1.361249946E-2
3.855629800E-2,-1.148125008E-1,-2.345750034E-1,1.691249944E-2
4.864122100E-2,-9.487500414E-3,-2.431000024E-1,1.787500083E-2
5.872637500E-2,-1.264999993E-2,-2.228875011E-1,1.471249945E-2
6.881109600E-2,-2.859999985E-2,-2.260500044E-1,8.249999955E-4
7.889600000E-2,-5.733750015E-2,-1.685750037E-1,-3.107500076E-2
8.898090800E-2,-9.143749624E-2,-4.619999975E-2,-4.908749834E-2
9.906583600E-2,-9.666249901E-2,6.022499874E-2,-5.018749833E-2
1.091507540E-1,-6.696250290E-2,1.080750003E-1,-4.592499882E-2
1.192356770E-1,-2.639999986E-2,1.240250021E-1,-4.386249930E-2
1.293206150E-1,-1.374999993E-2,1.399749964E-1,-4.056249931E-2
1.394055390E-1,-2.639999986E-2,1.538625062E-1,-3.959999979E-2
1.494904520E-1,-2.969999984E-2,1.410750002E-1,-3.313750029E-2
1.595754040E-1,-5.733750015E-2,1.071124971E-1,-1.608750038E-2
1.696603410E-1,-1.062875018E-1,4.963750020E-2,-1.374999993E-4
1.797451890E-1,-1.285624951E-1,-1.003750041E-2,1.361249946E-2
1.898301680E-1,-1.413500011E-1,-7.067500055E-2,4.028749838E-2
1.999151030E-1,-1.776500046E-1,-1.292500049E-1,6.682500243E-2
2.100000260E-1,-2.084500045E-1,-1.589500010E-1,8.277499676E-2
2.200849730E-1,-2.116124928E-1,-1.728374958E-1,1.072499976E-1
2.301698860E-1,-2.030874938E-1,-1.845249981E-1,1.561999917E-1
2.402548190E-1,-2.392500043E-1,-1.813624948E-1,1.647250056E-1
2.503397270E-1,-2.765125036E-1,-1.121999994E-1,1.168750003E-1
2.604245740E-1,-2.169750035E-1,-3.231250122E-2,9.872499853E-2
2.705095100E-1,-1.222374961E-1,1.979999989E-2,8.703749627E-2
2.805944470E-1,-7.755000144E-2,4.001250118E-2,1.083500013E-1
2.906793600E-1,-1.581249945E-2,1.677500010E-1,8.497499675E-2
3.007642780E-1,-6.902500242E-2,1.836999953E-1,6.366249919E-2
3.108492160E-1,-8.181250095E-2,1.836999953E-1,7.424999774E-2
3.209341100E-1,-7.328750193E-2,2.347124964E-1,4.881250113E-2
3.310190390E-1,-8.923749626E-2,2.528625131E-1,2.639999986E-2
3.411039630E-1,-9.666249901E-2,2.304500043E-1,-2.337499987E-3
3.511888870E-1,-1.159124970E-1,2.304500043E-1,-3.217500076E-2
3.612738340E-1,-1.307625026E-1,2.688125074E-1,-6.407500058E-2
3.713587570E-1,-9.996250272E-2,3.071750104E-1,-7.150000334E-2
3.814436800E-1,-2.433750033E-2,3.294500113E-1,-5.555000156E-2
3.915283720E-1,3.946249932E-2,3.411374986E-1,-5.018749833E-2
4.016132690E-1,3.849999979E-2,3.496625125E-1,-3.629999980E-2
4.116984370E-1,-2.543750033E-2,3.294500113E-1,-3.533750027E-2
4.217833430E-1,-2.749999985E-2,3.029125035E-1,-2.997500077E-2
4.318680170E-1,-2.749999985E-2,2.986499965E-1,-1.828750037E-2
4.419531490E-1,-3.492499888E-2,3.220250010E-1,-4.399999976E-3
4.520378430E-1,-5.733750015E-2,3.561249971E-1,9.349999949E-3
4.621227690E-1,-7.012499869E-2,3.667125106E-1,2.213750035E-2
4.722077020E-1,-9.459999949E-2,3.911874890E-1,5.087499972E-3
4.822926100E-1,-1.116499975E-1,4.135999978E-1,-7.562499959E-3
4.923775330E-1,-1.009249985E-1,4.230875075E-1,-1.086249948E-2
5.024624570E-1,-8.923749626E-2,4.305124879E-1,-1.086249948E-2
5.125473800E-1,-8.497499675E-2,4.295499921E-1,-8.662499487E-3
5.226322430E-1,-8.291249722E-2,4.219875038E-1,-9.762499481E-3
5.327171490E-1,-7.328750193E-2,4.178625047E-1,-9.762499481E-3
5.428021540E-1,-6.366249919E-2,4.305124879E-1,-1.086249948E-2
5.528870740E-1,-6.792499870E-2,4.464625120E-1,-1.512499992E-2
5.629719730E-1,-7.438749820E-2,4.549874961E-1,-1.938750036E-2
5.730568040E-1,-6.902500242E-2,4.540250003E-1,-1.512499992E-2
5.831417440E-1,-5.733750015E-2,4.497624934E-1,-7.562499959E-3
5.932266470E-1,-5.417500064E-2,4.444000125E-1,-1.374999993E-4
6.033115760E-1,-6.366249919E-2,4.369750023E-1,1.044999994E-2
6.133965230E-1,-6.586249918E-2,4.252874851E-1,1.787500083E-2
6.234814460E-1,-6.792499870E-2,4.124999940E-1,2.103750035E-2
6.335663690E-1,-7.548750192E-2,3.986124992E-1,2.007500082E-2
6.436512870E-1,-8.071249723E-2,3.806000054E-1,2.323750034E-2
6.537359860E-1,-8.497499675E-2,3.624500036E-1,2.956249937E-2
6.638208880E-1,-9.033749998E-2,3.465000093E-1,3.808749840E-2
6.739060710E-1,-9.776250273E-2,3.379749954E-1,4.344999790E-2
6.839907420E-1,-1.051874980E-1,3.262875080E-1,4.771250114E-2
6.940756630E-1,-1.148125008E-1,3.177624941E-1,4.881250113E-2
7.041605860E-1,-1.254000068E-1,2.910875082E-1,5.197500065E-2
7.142455180E-1,-1.370874941E-1,2.400749922E-1,5.513750017E-2
7.243304360E-1,-1.552374959E-1,1.655499935E-1,5.513750017E-2
7.344153740E-1,-1.700875014E-1,9.858749807E-2,4.977500066E-2
7.445002420E-1,-1.828749925E-1,6.655000150E-2,3.712499887E-2
7.545852400E-1,-1.978625059E-1,5.816249922E-2,2.639999986E-2
7.646701790E-1,-2.073500007E-1,3.891250119E-2,1.787500083E-2
7.747550450E-1,-2.041874975E-1,3.038750030E-2,6.187499966E-3
7.848399570E-1,-1.871374995E-1,3.781250119E-2,-8.662499487E-3
7.949248800E-1,-1.648624986E-1,3.781250119E-2,-2.144999988E-2
8.050098030E-1,-1.392875016E-1,2.089999989E-2,-2.681249939E-2
8.150947350E-1,-1.083500013E-1,-5.774999969E-3,-2.681249939E-2
8.251796680E-1,-7.122500241E-2,-3.561250120E-2,-2.461249940E-2
8.352643810E-1,-3.492499888E-2,-5.252499878E-2,-2.254999988E-2
8.453492790E-1,-1.044999994E-2,-5.788749829E-2,-1.292499993E-2
8.554342260E-1,1.072499994E-2,-7.809999585E-2,-1.237499993E-3
8.655191590E-1,2.997500077E-2,-1.057374999E-1,7.287499961E-3
8.756039920E-1,4.276249930E-2,-1.324124932E-1,9.349999949E-3
8.856889950E-1,4.276249930E-2,-1.685750037E-1,1.361249946E-2
