"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.968576620E-1,-1.003170490E0,-8.988132477E0,1.400607944E0
4.068576620E-1,-1.716642618E0,-1.029536629E1,1.261744261E0
4.168576620E-1,-6.679822803E-1,-1.014453220E1,1.455674648E0
4.268576620E-1,-9.624691010E-1,-9.498097420E0,1.247379065E0
4.368576620E-1,-1.182735682E0,-9.651326180E0,1.192312479E0
4.468596620E-1,-8.451532125E-1,-1.134402657E1,1.410184860E0
4.568596620E-1,-1.288080573E0,-1.139909363E1,1.620874524E0
4.668596620E-1,-7.445967197E-1,-1.295053673E1,9.744400978E-1
4.768596620E-1,-7.781155705E-1,-1.292180538E1,8.451532125E-1
4.868596620E-1,-1.549048543E0,2.008735180E0,-1.484405041E0
4.968596620E-1,-1.316810966E0,-4.041412354E0,9.002198577E-1
5.068596620E-1,-1.991975784E0,-8.243535995E0,8.283938169E-1
5.168596620E-1,-1.522712231E0,-8.957007408E0,1.125274822E-1
5.268596620E-1,-1.125274777E0,-9.253889084E0,1.273715258E0
5.368596620E-1,-1.601720929E0,-9.718363762E0,1.106121182E0
5.468596620E-1,-1.084573388E0,-9.115025520E0,3.854664862E-1
5.568601950E-1,-1.240196466E0,-8.976161003E0,4.908113480E-1
5.668601950E-1,-7.015010715E-1,-1.086758041E1,1.434126854E0
5.768601950E-1,-5.315127969E-1,-1.062816048E1,1.505952835E0
5.868601950E-1,-1.395819545E0,-1.187553978E1,2.600103140E0
5.968601950E-1,1.005564705E-1,-1.630271721E1,3.521870613E0
6.068601950E-1,-1.501164436E0,-1.607287407E1,4.062960148E0
6.168601950E-1,-2.887407303E0,-1.405905151E1,3.457227230E0
6.268601950E-1,-2.140416384E0,-1.343177128E1,1.462857246E0
6.368601950E-1,-1.575384736E0,-1.279491329E1,8.619125932E-2
6.468601950E-1,-1.201889277E0,-1.204792213E1,-1.764526606E0
6.568601950E-1,-1.000776291E0,-1.192581749E1,-1.912967205E0
6.668601950E-1,-1.144428372E0,-1.130332565E1,-1.161187768E0
6.768601950E-1,-1.561019540E0,-1.069759274E1,-5.099649429E-1
6.868601950E-1,-1.968033791E0,-1.032409668E1,9.337386489E-2
6.968605050E-1,-2.082955360E0,-1.034564495E1,6.081272364E-1
7.068605050E-1,-1.908178806E0,-9.739912033E0,1.240196466E0
7.168605050E-1,-1.853112102E0,-9.098265648E0,1.587355733E0
7.268605050E-1,-1.589749932E0,-8.425495148E0,2.032677174E0
7.368605050E-1,-1.448492050E0,-8.164526939E0,2.190694571E0
7.468602380E-1,-1.019929886E0,-8.121431351E0,2.023100376E0
7.568602380E-1,-7.781155705E-1,-8.176498413E0,1.922544003E0
7.668602380E-1,-3.830722570E-1,-8.487744331E0,1.345541358E0
7.768602380E-1,-1.029506698E-1,-8.727164268E0,8.954314590E-1
7.868602380E-1,-1.077390760E-1,-9.277831078E0,9.648633003E-1
7.968598040E-1,-6.871358752E-1,-9.617807388E0,9.792284966E-1
8.068600700E-1,-9.050082564E-1,-9.761459351E0,4.141969085E-1
8.168600700E-1,-1.079784989E0,-9.749488831E0,3.303998411E-1
8.268600700E-1,-1.175553083E0,-9.785401344E0,4.213795066E-1
8.368600700E-1,-1.266532660E0,-9.711181641E0,4.644751251E-1
8.468600700E-1,-1.431732655E0,-9.792584419E0,4.141969085E-1
8.568598030E-1,-1.570596337E0,-9.730335236E0,5.482721925E-1
8.668598030E-1,-1.891419291E0,-9.656114578E0,1.086967587E0
8.768598030E-1,-1.874659896E0,-9.598653793E0,1.077390790E0
8.868598030E-1,-1.812410712E0,-9.545981407E0,1.118092179E0
8.968598030E-1,-1.747767210E0,-9.538799286E0,1.130063176E0
9.068598030E-1,-1.618480325E0,-9.610625267E0,1.063025594E0
9.168598030E-1,-1.565807939E0,-9.668086052E0,1.067813993E0
9.268598030E-1,-1.438915253E0,-9.706393242E0,1.012747288E0
9.368598030E-1,-1.414973259E0,-9.725546837E0,9.935936928E-1
9.468600690E-1,-1.400607944E0,-9.744700432E0,1.024718285E0
9.568600690E-1,-1.429338455E0,-9.742305756E0,1.086967587E0
9.668600690E-1,-1.527500629E0,-9.689633369E0,1.163581967E0
9.768600690E-1,-1.577778935E0,-9.636960983E0,1.197100878E0
9.868600690E-1,-1.692700624E0,-9.579500198E0,1.304839969E0
9.968597690E-1,-1.738190413E0,-9.519645691E0,1.338358760E0
1.006859769E0,-1.721431017E0,-9.507674217E0,1.347935557E0
1.016859769E0,-1.719036818E0,-9.510068893E0,1.323993564E0
1.026859769E0,-1.673547029E0,-9.510068893E0,1.283292055E0
1.036859769E0,-1.637633920E0,-9.481337547E0,1.273715258E0
1.046859769E0,-1.616086125E0,-9.495702744E0,1.204283476E0
1.056860035E0,-1.649604917E0,-9.498097420E0,1.201889277E0
1.066860035E0,-1.671152830E0,-9.433453560E0,1.254561663E0
1.076860035E0,-1.640028119E0,-9.445425034E0,1.252167463E0
1.086860035E0,-1.580173135E0,-9.526827812E0,1.218648672E0
1.096860468E0,-1.606509328E0,-9.522039413E0,1.300051570E0
1.106860201E0,-1.599326730E0,-9.519645691E0,1.429338455E0
1.116859834E0,-1.592144132E0,-9.481337547E0,1.482010841E0
1.126859834E0,-1.642422318E0,-9.378387451E0,1.505952835E0
1.136859834E0,-1.651999116E0,-9.366415977E0,1.503558636E0
1.146859834E0,-1.733402014E0,-9.356839180E0,1.482010841E0
1.156859834E0,-1.778891921E0,-9.373599052E0,1.460463047E0
1.166859834E0,-1.879448295E0,-9.416694641E0,1.371877551E0
1.176859834E0,-1.956062794E0,-9.428665161E0,1.314416766E0
1.186859834E0,-2.070984364E0,-9.469367027E0,1.256955862E0
1.196860134E0,-2.140416384E0,-9.478943825E0,1.259350061E0
1.206860134E0,-2.121262789E0,-9.488520622E0,1.182735682E0
1.216860134E0,-2.157175779E0,-9.502885818E0,1.103726983E0
1.226860134E0,-2.085349798E0,-9.541193008E0,1.034295082E0
1.236860134E0,-2.030282974E0,-9.560346603E0,1.043871999E0
1.246859867E0,-2.011129379E0,-9.572318077E0,1.027112484E0
1.256859867E0,-1.946485996E0,-9.555558205E0,1.031900883E0
1.266859867E0,-1.879448295E0,-9.555558205E0,1.125274777E0
1.276859867E0,-1.762132406E0,-9.586683273E0,1.170764685E0
1.286859867E0,-1.723825216E0,-9.545981407E0,1.182735682E0
1.296859867E0,-1.726219416E0,-9.586683273E0,1.137245774E0
1.306860133E0,-1.719036818E0,-9.610625267E0,1.048660398E0
1.316860133E0,-1.663970232E0,-9.651326180E0,9.768342972E-1
1.326859633E0,-1.620874524E0,-9.706393242E0,8.738836050E-1
1.336859633E0,-1.608903527E0,-9.706393242E0,7.852981687E-1
1.346859899E0,-1.513135433E0,-9.794978142E0,7.398083210E-1
1.356859632E0,-1.441309452E0,-9.830891609E0,7.158663273E-1
1.366859632E0,-1.297657371E0,-9.850045204E0,7.206547260E-1
1.376859632E0,-1.300051570E0,-9.871592522E0,7.326257229E-1
1.386859632E0,-1.244984865E0,-9.876380920E0,8.092401624E-1
1.396859632E0,-1.256955862E0,-9.859622002E0,8.834604025E-1
1.406859632E0,-1.221042871E0,-9.833285332E0,1.007958889E0
1.416859998E0,-1.149216771E0,-9.792584419E0,1.015141487E0
1.426859998E0,-1.060631394E0,-9.778219223E0,1.060631394E0
1.436859998E0,-1.048660398E0,-9.754277229E0,1.086967587E0
1.446860298E0,-9.720458984E-1,-9.682451248E0,1.039083481E0
1.456860298E0,-9.313444495E-1,-9.620202065E0,1.086967587E0
1.466860298E0,-9.217676520E-1,-9.560346603E0,1.125274777E0
1.476860298E0,-9.217676520E-1,-9.591471672E0,1.098938584E0
1.486860298E0,-8.786720037E-1,-9.557952881E0,1.077390790E0
1.496859998E0,-8.667010069E-1,-9.562741280E0,1.098938584E0
1.506859998E0,-1.031900883E0,-9.553164482E0,1.230619669E0
1.516859998E0,-1.165976286E0,-9.627384186E0,1.285686255E0
