"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.684466200E-2,7.890087962E-1,2.364048511E-1,-2.092213482E-1
2.685766200E-2,3.400228620E-1,1.429424733E-1,1.230893433E-1
3.685766200E-2,2.080759704E-1,1.747074574E-1,1.878410578E-1
4.685766200E-2,1.097266674E-1,1.386664063E-1,2.092213482E-1
5.686032800E-2,8.712465316E-2,8.857546002E-2,2.214386463E-1
6.686032800E-2,1.133918613E-1,5.192354694E-2,2.208277881E-1
7.686032800E-2,1.781435758E-1,-2.138028294E-2,1.853975952E-1
8.686032800E-2,2.367866337E-1,-1.527163088E-1,1.652390510E-1
9.686032800E-2,2.587777972E-1,-6.719517522E-3,9.254608303E-2
1.068603280E-1,1.989129931E-1,3.359758854E-2,9.193521738E-2
1.168603280E-1,1.524872333E-1,2.199114859E-2,1.469130963E-1
1.268603280E-1,1.366047412E-1,-2.993239649E-2,2.147191316E-1
1.368603280E-1,1.579850167E-1,-6.841690838E-2,3.008511364E-1
1.468603280E-1,2.001347244E-1,-9.040805697E-2,3.643811047E-1
1.568603280E-1,2.538908720E-1,-1.123992056E-1,4.444044530E-1
1.668603280E-1,2.819906771E-1,-6.780604273E-2,4.676173329E-1
1.768603280E-1,1.347721517E-1,8.002334833E-2,2.107485011E-2
1.868603280E-1,-1.608866304E-1,1.527163107E-2,-1.353066564E-1
1.968608570E-1,-4.467715621E-1,1.948660165E-1,-2.226603776E-1
2.068608570E-1,-5.677229166E-1,2.864958048E-1,-3.747658134E-1
2.168608570E-1,-5.164102316E-1,4.386012554E-1,-5.598580241E-1
2.268608570E-1,-6.391941309E-1,2.467895597E-1,-6.392704844E-1
2.368608570E-1,-8.132907152E-1,1.209513173E-1,-5.726861954E-1
2.468608570E-1,-8.328384161E-1,1.368338168E-1,-5.170974135E-1
2.568608570E-1,-7.021132708E-1,-2.138028294E-2,-4.889976382E-1
2.668608570E-1,-3.624721766E-1,-1.295034289E-1,-5.018258095E-1
2.768608570E-1,-3.443752974E-2,-3.249803185E-1,-5.018258095E-1
2.868608570E-1,2.001347244E-1,-5.528330207E-1,-4.334088862E-1
2.968608570E-1,4.621959031E-1,-6.756169796E-1,-3.393356502E-1
3.068611420E-1,7.047094107E-1,-6.206390858E-1,-2.251038402E-1
3.168611420E-1,9.716575146E-1,-4.263839424E-1,-9.926560521E-2
3.268611420E-1,1.153084517E0,-3.292563558E-1,2.138028387E-3
3.368611420E-1,1.247157812E0,-2.938261926E-1,1.860084683E-1
3.468611420E-1,1.250212073E0,-1.783726513E-1,3.210096955E-1
