"Time (s)","Pressure (hPa)"
1.815766200E-2,1.017821045E3
1.201576620E-1,1.017870850E3
2.201576620E-1,1.017854980E3
3.201576620E-1,1.017854980E3
4.201576620E-1,1.017879150E3
5.201576620E-1,1.017784668E3
6.201576620E-1,1.017835205E3
7.201576620E-1,1.017858154E3
8.201576620E-1,1.017882812E3
9.201576620E-1,1.017884521E3
1.020157662E0,1.017907227E3
1.120157662E0,1.017899170E3
1.220157662E0,1.017908936E3
1.320156412E0,1.017918701E3
1.420156412E0,1.017910645E3
1.520156412E0,1.017899414E3
1.620156412E0,1.017885254E3
1.720156412E0,1.017893066E3
1.820156412E0,1.017894531E3
1.920156412E0,1.017923584E3
2.020156412E0,1.017936523E3
2.120156412E0,1.017911621E3
2.220156412E0,1.017906494E3
2.320156412E0,1.017916504E3
2.420156412E0,1.017916992E3
2.520156412E0,1.017924072E3
2.620156412E0,1.017930420E3
2.720156412E0,1.017907959E3
2.820156412E0,1.017926758E3
2.920156412E0,1.017948975E3
3.020156412E0,1.017940674E3
3.120156412E0,1.017934082E3
3.220156412E0,1.017934082E3
3.320156412E0,1.017930908E3
3.420156412E0,1.017931396E3
3.520156412E0,1.017937012E3
3.620156412E0,1.017958496E3
3.720156412E0,1.017937500E3
3.820156412E0,1.017915771E3
3.920656846E0,1.017915771E3
4.020656846E0,1.017930420E3
4.120656846E0,1.017925293E3
4.220656846E0,1.017925293E3
4.320657346E0,1.017921875E3
4.420657346E0,1.017942139E3
4.520657346E0,1.017942139E3
4.620657346E0,1.017928955E3
4.720657346E0,1.017949707E3
4.820657346E0,1.017949707E3
4.920657346E0,1.017934326E3
5.020657346E0,1.017910400E3
5.120657346E0,1.017910400E3
5.220657346E0,1.017903564E3
5.320657346E0,1.017908936E3
5.420657346E0,1.017908936E3
5.520657346E0,1.017910156E3
5.620657346E0,1.017912354E3
5.720657346E0,1.017912354E3
5.820657346E0,1.017891846E3
5.920657346E0,1.017912354E3
6.020657346E0,1.017919922E3
6.120657346E0,1.017902832E3
6.220657346E0,1.017927002E3
6.320657346E0,1.017934326E3
6.420657346E0,1.017932861E3
6.520657346E0,1.017936768E3
6.620657346E0,1.017933105E3
6.720657346E0,1.017930420E3
6.820657346E0,1.017921631E3
6.920657346E0,1.017916504E3
7.020657346E0,1.017900635E3
7.120657346E0,1.017888916E3
7.220657346E0,1.017860107E3
7.320657346E0,1.017847412E3
7.420657346E0,1.017861084E3
7.520657346E0,1.017831787E3
7.620657346E0,1.017840088E3
7.720657346E0,1.017847656E3
7.820657346E0,1.017842529E3
7.920657346E0,1.017843994E3
8.020657346E0,1.017840332E3
8.120657346E0,1.017841553E3
8.220657346E0,1.017845459E3
8.320657346E0,1.017843506E3
8.420657346E0,1.017836670E3
8.520657346E0,1.017861328E3
8.620657346E0,1.017861572E3
8.720657346E0,1.017840088E3
8.820657346E0,1.017848877E3
8.920657346E0,1.017865723E3
9.020657346E0,1.017865723E3
9.120657346E0,1.017870117E3
9.220657346E0,1.017846436E3
9.320657346E0,1.017846436E3
9.420657346E0,1.017851318E3
9.520657346E0,1.017852295E3
9.620657346E0,1.017852295E3
9.720657346E0,1.017847412E3
9.820657346E0,1.017828369E3
9.920657346E0,1.017828369E3
1.002065735E1,1.017828613E3
1.012065735E1,1.017843018E3
1.022065735E1,1.017843018E3
1.032065735E1,1.017842285E3
1.042065735E1,1.017823975E3
1.052065735E1,1.017823975E3
1.062065735E1,1.017831299E3
1.072065735E1,1.017837891E3
1.082065735E1,1.017837891E3
1.092065735E1,1.017818115E3
1.102065735E1,1.017821289E3
1.112065735E1,1.017833496E3
1.122065735E1,1.017840820E3
1.132065735E1,1.017826172E3
1.142065735E1,1.017822998E3
1.152065735E1,1.017840332E3
1.162065735E1,1.017826172E3
1.172065735E1,1.017832275E3
1.182065735E1,1.017851318E3
1.192065735E1,1.017852783E3
1.202065735E1,1.017848389E3
1.212065735E1,1.017868652E3
1.222065735E1,1.017865723E3
1.232065735E1,1.017872803E3
1.242065735E1,1.017858643E3
1.252065735E1,1.017847168E3
1.262065735E1,1.017850586E3
1.272065735E1,1.017865479E3
1.282065735E1,1.017861572E3
1.292065735E1,1.017835205E3
1.302065735E1,1.017831787E3
1.312065735E1,1.017837402E3
1.322065735E1,1.017822754E3
1.332065735E1,1.017838379E3
1.342065735E1,1.017852539E3
1.352065735E1,1.017841064E3
1.362065735E1,1.017851318E3
1.372065735E1,1.017878906E3
1.382065735E1,1.017880859E3
1.392065735E1,1.017876709E3
1.402065735E1,1.017853271E3
1.412065735E1,1.017853271E3
1.422065735E1,1.017846680E3
1.432065735E1,1.017833008E3
1.442065735E1,1.017833008E3
1.452065735E1,1.017841553E3
1.462065735E1,1.017848633E3
1.472065735E1,1.017848633E3
1.482065735E1,1.017873047E3
1.492065735E1,1.017857422E3
1.502065735E1,1.017857422E3
1.512065735E1,1.017846924E3
1.522065735E1,1.017851318E3
1.532065735E1,1.017851318E3
1.542065735E1,1.017859863E3
1.552065735E1,1.017854248E3
1.562065735E1,1.017854248E3
1.572065735E1,1.017856934E3
1.582065735E1,1.017875244E3
1.592065735E1,1.017875244E3
1.602065735E1,1.017853027E3
1.612065735E1,1.017853271E3
1.622065735E1,1.017864014E3
1.632065735E1,1.017867432E3
1.642065735E1,1.017857666E3
1.652065735E1,1.017837402E3
1.662065735E1,1.017825928E3
1.672065735E1,1.017847412E3
1.682065735E1,1.017854980E3
1.692065735E1,1.017854736E3
1.702065735E1,1.017841553E3
1.712065735E1,1.017832031E3
1.722065735E1,1.017847656E3
1.732065735E1,1.017851807E3
1.742065735E1,1.017845215E3
1.752065735E1,1.017865234E3
1.762065735E1,1.017875244E3
1.772065735E1,1.017875000E3
1.782065735E1,1.017881836E3
1.792065735E1,1.017862305E3
1.802065735E1,1.017854980E3
1.812065735E1,1.017842773E3
1.822065735E1,1.017838379E3
1.832065735E1,1.017828369E3
1.842065735E1,1.017823730E3
1.852065735E1,1.017829346E3
1.862065735E1,1.017825195E3
1.872065735E1,1.017846436E3
1.882065735E1,1.017857666E3
1.892065735E1,1.017868896E3
1.902065735E1,1.017881348E3
1.912065735E1,1.017865723E3
1.922065735E1,1.017865723E3
1.932065735E1,1.017858887E3
1.942065735E1,1.017877930E3
1.952065735E1,1.017877930E3
1.962065735E1,1.017872559E3
1.972065735E1,1.017888672E3
1.982065735E1,1.017888672E3
1.992065735E1,1.017869873E3
2.002065735E1,1.017861572E3
2.012065735E1,1.017861572E3
2.022065735E1,1.017868896E3
2.032065735E1,1.017862061E3
2.042065735E1,1.017862061E3
2.052065735E1,1.017875000E3
2.062065735E1,1.017848145E3
2.072065735E1,1.017848145E3
2.082065735E1,1.017855713E3
2.092065735E1,1.017860596E3
2.102065735E1,1.017860596E3
2.112065735E1,1.017835693E3
2.122065735E1,1.017835205E3
2.132065735E1,1.017819824E3
2.142065735E1,1.017863770E3
2.152065735E1,1.017858398E3
2.162065735E1,1.017868896E3
2.172065735E1,1.017866211E3
2.182065735E1,1.017859131E3
2.192065735E1,1.017846191E3
2.202065735E1,1.017852783E3
2.212065735E1,1.017874756E3
2.222065735E1,1.017862305E3
2.232065735E1,1.017858643E3
2.242065735E1,1.017855225E3
2.252065735E1,1.017849609E3
2.262065735E1,1.017851807E3
2.272065735E1,1.017876221E3
2.282065735E1,1.017876953E3
2.292065735E1,1.017885742E3
2.302065735E1,1.017898438E3
2.312065735E1,1.017878906E3
2.322065735E1,1.017914551E3
2.332065735E1,1.017900391E3
2.342065735E1,1.017906738E3
2.352065735E1,1.017901123E3
2.362065735E1,1.017894043E3
2.372065735E1,1.017891113E3
2.382065735E1,1.017895996E3
2.392065735E1,1.017906982E3
2.402065735E1,1.017918213E3
2.412065735E1,1.017916748E3
2.422065735E1,1.017907715E3
2.432065735E1,1.017909912E3
2.442065735E1,1.017900391E3
2.452065735E1,1.017887695E3
2.462065735E1,1.017887695E3
2.472065735E1,1.017887695E3
2.482065735E1,1.017903564E3
2.492065735E1,1.017903564E3
2.502065735E1,1.017897461E3
