"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.985653100E-1,-1.963245392E0,-9.502885818E0,-7.661445439E-2
4.085653100E-1,-2.619256735E0,-9.703998566E0,-1.005564705E-1
4.185653100E-1,-2.750937700E0,-9.984120369E0,3.232172430E-1
4.285653100E-1,-2.755726099E0,-9.074323654E0,3.232172430E-1
4.385653100E-1,-1.630451322E0,-8.638579369E0,2.035071403E-1
4.485653100E-1,-4.070142806E-1,-9.313743591E0,-4.405331016E-1
4.585653100E-1,-9.983820915E-1,-1.060900688E1,-3.088520169E-1
4.685653100E-1,-2.059013367E0,-1.011819553E1,4.548983276E-1
4.785653100E-1,-3.967192173E0,-9.842862129E0,1.726219416E0
4.885663100E-1,-3.004723072E0,-8.921094894E0,-4.501099288E-1
4.985663100E-1,-2.248155355E0,-7.443872452E0,2.106897533E-1
5.085663100E-1,-1.747767210E0,-6.672939301E0,-9.097966552E-2
5.185663100E-1,-1.125274777E0,-6.543652534E0,-3.615244627E-1
5.285663100E-1,-9.145850539E-1,-6.938695908E0,-5.099649429E-1
5.385663100E-1,-1.149216771E0,-7.120655060E0,-4.237737060E-1
5.485663100E-1,-1.486799240E0,-8.030451775E0,-4.189853072E-1
5.585663100E-1,-1.572990537E0,-8.449437141E0,-5.770025849E-1
5.685663100E-1,-2.078166962E0,-8.901941299E0,-2.873042040E-2
5.785663100E-1,-2.147598982E0,-8.260294914E0,-1.460463107E-1
5.885663100E-1,-1.996764183E0,-8.674491882E0,2.705447972E-1
5.985663100E-1,-2.018311977E0,-9.074323654E0,3.208230138E-1
6.085663100E-1,-2.082955360E0,-9.591471672E0,6.679822803E-1
6.185663100E-1,-2.324769735E0,-9.553164482E0,1.005564705E-1
6.285666730E-1,-2.018311977E0,-9.833285332E0,-6.703764796E-1
6.385666730E-1,-1.769315004E0,-9.502885818E0,-2.394201756E-1
6.485666730E-1,-2.406172752E0,-1.009904194E1,-8.810662031E-1
6.585666730E-1,-2.504334927E0,-1.029776096E1,-6.727706790E-1
6.685666730E-1,-2.738966703E0,-9.725546837E0,-1.412578970E-1
6.785666730E-1,-2.760514498E0,-9.603442192E0,1.388636976E-1
6.885666730E-1,-2.815581083E0,-9.354445457E0,3.519476354E-1
6.985666730E-1,-2.219424963E0,-8.870816231E0,5.674257874E-1
7.085666730E-1,-1.438915253E0,-9.100660324E0,5.410895944E-1
7.185666730E-1,-1.206677675E0,-9.577106476E0,-6.224924326E-2
7.285666730E-1,-1.596932530E0,-9.821314812E0,-9.097966552E-2
7.385669390E-1,-1.539471745E0,-1.035522175E1,-1.915361360E-2
7.485669390E-1,-1.709460020E0,-1.167921543E1,-2.705447972E-1
7.585669390E-1,-1.874659896E0,-1.081969643E1,7.182605099E-3
7.685669390E-1,-1.917755604E0,-1.035043335E1,-1.005564705E-1
7.785669390E-1,-1.939303398E0,-1.094419479E1,-2.681505978E-1
