"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.856531000E-2,-4.280867100E0,1.779251862E1,2.942537785E0
3.056531000E-2,4.307363629E-1,-5.450445414E-1,-3.506366611E-1
4.056531000E-2,3.384957016E-1,-5.187773108E-1,-4.618141353E-1
5.056531000E-2,1.008691266E-1,-4.552473128E-1,-6.334672570E-1
6.056531000E-2,-1.923462003E-1,-4.063780904E-1,-6.939429045E-1
7.056531000E-2,-4.983896911E-1,-4.283692539E-1,-7.733554244E-1
8.056531000E-2,-8.142070174E-1,-4.143193662E-1,-8.210029006E-1
9.056531000E-2,-1.086652875E0,-4.540255964E-1,-8.442157507E-1
1.005653100E-1,-1.366429210E0,-4.485278130E-1,-8.374962807E-1
1.105653100E-1,-1.600390553E0,-4.613559842E-1,-7.837401032E-1
1.205653100E-1,-1.666364074E0,-5.102251768E-1,-6.359107494E-1
1.305661100E-1,-1.517923832E0,-5.010622144E-1,-4.709770977E-1
1.405661100E-1,-1.249753952E0,-4.185954034E-1,-2.871066630E-1
1.505661100E-1,-9.461538792E-1,-2.952006161E-1,-1.374446750E-1
1.605661100E-1,-6.792057753E-1,-2.170098722E-1,-3.359758854E-2
1.705661100E-1,-4.983896911E-1,-1.540907621E-1,-3.848451003E-2
1.805661100E-1,-4.482987225E-1,-2.261728644E-1,-7.696902007E-2
1.905661100E-1,-4.983896911E-1,-3.746131063E-1,-1.221730486E-1
2.005661100E-1,-5.839108229E-1,-5.090034604E-1,-1.307251602E-1
2.105661100E-1,-6.773731709E-1,-5.975789428E-1,-1.240056455E-1
2.205661100E-1,-7.573965192E-1,-6.226243973E-1,-1.203404516E-1
2.305661100E-1,-8.624653816E-1,-5.487096906E-1,-1.679879427E-1
2.405664900E-1,-9.339365959E-1,-4.906775057E-1,-1.649336219E-1
2.505664900E-1,-9.076694250E-1,-3.727805018E-1,-1.221730486E-1
2.605664900E-1,-9.168323874E-1,-1.443169117E-1,-1.423316002E-1
2.705664900E-1,-1.070770383E0,1.146899462E-1,-2.382374406E-1
2.805664900E-1,-1.238758326E0,1.244637966E-1,-1.771509200E-1
2.905664900E-1,-1.313283920E0,4.871650413E-2,-2.119702399E-1
3.005664900E-1,-1.164843678E0,-1.742493063E-1,-2.571742535E-1
3.105664900E-1,-8.508589268E-1,-1.211040318E-1,-2.864958048E-1
3.205664900E-1,-4.195880592E-1,-1.968513280E-1,-2.522873580E-1
3.305664900E-1,9.537133574E-2,5.849034712E-2,-2.522873580E-1
3.405664900E-1,3.891975284E-1,1.403462887E-1,-1.740965992E-1
3.505664900E-1,5.119814277E-1,2.295326144E-1,-1.246165112E-1
3.605664900E-1,4.289037585E-1,2.197587788E-1,-5.436700583E-2
