"Time (s)","X (hPa)"
9.865310000E-3,1.019152100E3
1.118653100E-1,1.019180176E3
2.118653100E-1,1.019184814E3
3.118653100E-1,1.019167236E3
4.118653100E-1,1.019159180E3
5.118653100E-1,1.019128906E3
6.118653100E-1,1.019086670E3
7.118653100E-1,1.019042969E3
8.118653100E-1,1.019056396E3
9.118653100E-1,1.019067627E3
1.011865310E0,1.019076416E3
1.111865310E0,1.019097656E3
1.211865310E0,1.019120117E3
1.311865310E0,1.019136475E3
1.411865310E0,1.019168945E3
1.511865310E0,1.019196045E3
1.611865310E0,1.019211182E3
1.711865310E0,1.019218750E3
1.811865310E0,1.019232178E3
1.911865310E0,1.019226318E3
2.011865310E0,1.019222412E3
2.111865310E0,1.019181396E3
2.211865310E0,1.019181396E3
2.311865310E0,1.019152100E3
2.411865310E0,1.019004639E3
2.511865310E0,1.019004639E3
2.611865310E0,1.018898193E3
2.711865310E0,1.018655762E3
2.811865310E0,1.018655762E3
2.911865310E0,1.018559570E3
3.011865310E0,1.018412354E3
3.111865310E0,1.018412354E3
3.211865310E0,1.018356689E3
3.311865310E0,1.018338867E3
3.411865310E0,1.018338867E3
3.511865310E0,1.018396973E3
3.611865310E0,1.018460205E3
3.711865310E0,1.018460205E3
3.811865310E0,1.018612549E3
3.911865310E0,1.018684814E3
4.011865310E0,1.018684814E3
4.111865310E0,1.018780518E3
4.211865310E0,1.018818604E3
4.311865310E0,1.018833984E3
4.411865310E0,1.018858154E3
4.511865310E0,1.018874756E3
4.611865310E0,1.018905518E3
4.711865310E0,1.018932861E3
4.811865310E0,1.018953857E3
4.911865310E0,1.018978516E3
5.011865310E0,1.019012451E3
5.111865310E0,1.019052734E3
5.211864810E0,1.019115967E3
5.311864810E0,1.019180420E3
5.411864810E0,1.019253906E3
5.511864810E0,1.019353760E3
5.611864810E0,1.019462158E3
5.711864810E0,1.019578125E3
5.811864810E0,1.019683594E3
5.911864810E0,1.019766357E3
6.013627075E0,1.019838623E3
6.113627075E0,1.019918213E3
6.213627075E0,1.019982910E3
6.313627075E0,1.020028564E3
6.413627075E0,1.020059326E3
6.513627075E0,1.020066406E3
6.613627075E0,1.020083740E3
6.713627075E0,1.020080811E3
6.813627075E0,1.020078613E3
6.913627075E0,1.020073486E3
7.013627075E0,1.020056641E3
7.113627075E0,1.020009277E3
7.213627075E0,1.019962891E3
7.313627075E0,1.019895020E3
7.413627075E0,1.019858887E3
7.513627075E0,1.019769775E3
7.613627075E0,1.019769775E3
7.713627075E0,1.019727783E3
7.813627075E0,1.019600830E3
7.913627075E0,1.019600830E3
8.013627075E0,1.019563232E3
8.113627075E0,1.019510986E3
8.213627575E0,1.019510986E3
8.313627575E0,1.019480713E3
8.413627575E0,1.019459717E3
8.513627575E0,1.019459717E3
8.613627575E0,1.019447510E3
