"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.018893510E-1,-1.424550056E0,-5.593154430E0,5.937620401E-1
4.118893510E-1,-1.754949808E0,-7.008127689E0,-2.633621991E-1
4.218893510E-1,-2.257732153E0,-7.709628582E0,-6.560112834E-1
4.318893510E-1,-2.839523315E0,-8.767866135E0,-7.374141216E-1
4.418893510E-1,-2.985569477E0,-9.282619476E0,-5.937620401E-1
4.518916010E-1,-2.588132143E0,-1.006791782E1,-3.471592367E-1
4.618916010E-1,-2.358288765E0,-1.050366211E1,-3.064578176E-1
4.718916010E-1,-2.111685991E0,-1.106869411E1,-4.261679053E-1
4.818916010E-1,-2.078166962E0,-1.116206741E1,-5.171475410E-1
4.918916010E-1,-2.360682964E0,-1.098729134E1,-2.849099934E-1
5.018916010E-1,-2.595314741E0,-1.081011963E1,-1.244984865E-1
5.118916010E-1,-2.968810081E0,-1.049169159E1,4.979939461E-1
5.218916010E-1,-3.179499865E0,-1.027142429E1,5.937620401E-1
5.318916010E-1,-3.687070608E0,-9.670479774E0,1.082179189E0
5.418916010E-1,-3.837905407E0,-9.277831078E0,1.292868972E0
5.518916010E-1,-4.173093796E0,-8.842085838E0,1.632845521E0
5.618916010E-1,-4.209006786E0,-8.561964989E0,1.616086125E0
5.718916010E-1,-4.393360138E0,-8.198045731E0,1.778891921E0
5.818916010E-1,-4.015076160E0,-8.013691902E0,2.363077164E0
5.918920450E-1,-2.264914751E0,-9.457395554E0,4.759673119E0
6.018920450E-1,-2.025494576E0,-1.031930828E1,4.438849926E0
6.118920450E-1,-1.788468719E0,-1.015889740E1,2.669534922E0
6.218920450E-1,-1.577778935E0,-9.536404610E0,1.896207690E0
6.318920450E-1,-2.257732153E0,-8.490138054E0,1.867477298E0
6.418920450E-1,-2.545036316E0,-8.394370079E0,2.059013367E0
6.518920450E-1,-3.229778051E0,-8.576330185E0,2.276885748E0
6.618920450E-1,-3.112462282E0,-9.004891396E0,2.415749550E0
6.718920450E-1,-2.633621931E0,-9.378387451E0,2.971204281E0
6.818920450E-1,-2.030282974E0,-9.227552414E0,2.930502892E0
6.918920450E-1,-2.142810583E0,-8.557176590E0,2.889801502E0
7.018923550E-1,-2.291250944E0,-7.929895401E0,2.870647907E0
7.118923550E-1,-2.109291792E0,-6.536469936E0,2.262520552E0
7.218923550E-1,-1.757344007E0,-6.026504993E0,1.431732655E0
7.318923550E-1,-1.642422318E0,-6.086359978E0,-6.607996821E-1
7.418923550E-1,-2.571372509E0,-6.438307762E0,-2.614468336E0
7.518920550E-1,-3.466804028E0,-8.351274490E0,-3.536235809E0
7.618920550E-1,-3.335123062E0,-1.022593498E1,-2.497152328E0
7.718920550E-1,-2.741360903E0,-1.434156704E1,-1.644816518E0
7.818920550E-1,-2.719813108E0,-1.651340675E1,-9.074024558E-1
7.918920550E-1,-3.141192675E0,-1.818695450E1,5.770025849E-1
8.018920550E-1,-3.062183857E0,-1.803372574E1,1.747767180E-1
8.118920550E-1,-1.927332401E0,-1.755249214E1,-2.576161146E0
8.218920550E-1,-1.623268723E0,-1.706886292E1,-3.892971992E0
8.318920550E-1,-1.565807939E0,-1.538094997E1,-4.714183331E0
8.418923550E-1,-2.173935175E0,-1.404708099E1,-4.599261284E0
8.518923550E-1,-4.113238335E0,-1.059224796E1,-2.738966703E0
8.618923550E-1,-3.816357613E0,-1.008946514E1,-2.075772762E0
8.718923550E-1,-4.683058739E0,-8.226776123E0,1.333570361E0
8.818923550E-1,-5.681739807E0,-6.823774338E0,3.208230257E0
8.918920880E-1,-4.735731125E0,-5.370493889E0,2.626439333E0
9.018920880E-1,-3.715801001E0,-4.656722069E0,2.834734917E0
9.118920880E-1,-3.138798475E0,-3.524264812E0,1.735796213E0
9.218920880E-1,-2.018311977E0,-3.979163170E0,1.199495077E0
9.318920880E-1,-6.799532771E-1,-5.688922405E0,2.185906172E0
9.418920880E-1,-1.273715258E0,-5.437531471E0,2.066195965E0
9.518923880E-1,-1.079784989E0,-5.846940041E0,5.746083856E-1
9.618923880E-1,-6.727706790E-1,-6.641814709E0,-3.806780577E-1
9.718923880E-1,-2.130839527E-1,-7.467814445E0,-1.316810966E0
9.818923880E-1,2.968810201E-1,-8.018480301E0,-1.699883223E0
9.918923880E-1,-4.070143029E-2,-8.988132477E0,-1.563413739E0
1.001892088E0,-1.077390760E-1,-9.797372818E0,-8.259995580E-1
1.011892088E0,-2.657563984E-1,-1.113573170E1,2.394201756E-1
1.021892088E0,-8.667010069E-1,-1.124825859E1,7.374141216E-1
1.031892088E0,-1.984793186E0,-1.077420712E1,1.156399369E0
1.041892088E0,-2.691082716E0,-1.030733776E1,1.367089152E0
1.051892088E0,-3.940855980E0,-8.664915085E0,2.528276920E0
1.061892088E0,-4.364629745E0,-7.908347607E0,3.442862034E0
1.071892088E0,-4.596867085E0,-8.662521362E0,2.600103140E0
1.081892088E0,-5.437531471E0,-8.990526199E0,-1.436521020E-2
