"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.323088500E-2,9.386403084E0,-5.241910934E0,-3.550043344E0
2.523088500E-2,-1.967749715E0,-1.462487698E0,-4.456261992E-1
3.523788500E-2,-1.736231685E0,-1.300608516E0,-3.350595832E-1
4.523788500E-2,-1.362382174E0,-1.007393122E0,-2.147191316E-1
5.523788500E-2,-8.724682927E-1,-6.433174610E-1,-1.884519309E-1
6.523788500E-2,-4.088215530E-1,-4.246276915E-1,-2.061670274E-1
7.523788500E-2,1.745547503E-1,-3.867540658E-1,-2.208277881E-1
8.523788500E-2,5.447390676E-1,-5.150357485E-1,-3.057380617E-1
9.523788500E-2,7.426594496E-1,-6.824128628E-1,-3.478877544E-1
1.052378850E-1,7.958046794E-1,-9.292023778E-1,-3.393356502E-1
1.152378850E-1,7.817547917E-1,-1.132620573E0,-2.654209435E-1
1.252378850E-1,7.371616364E-1,-1.221195936E0,-1.359175146E-1
1.352378850E-1,6.388123035E-1,-1.075810075E0,-3.084869497E-2
1.452378850E-1,5.746715069E-1,-6.512587070E-1,-4.123340547E-2
1.552378850E-1,5.135849714E-1,-2.010510266E-1,-1.750128865E-1
1.652378850E-1,7.212791443E-1,-1.741729528E-1,-2.788599730E-1
1.752378850E-1,1.181871533E0,-9.964739531E-2,-2.660318017E-1
1.852378850E-1,1.903914213E0,1.837940812E-1,-1.255328059E-1
1.952378850E-1,2.686432600E0,6.614906788E-1,-7.177666575E-2
2.052378850E-1,3.136029482E0,1.028620720E0,-1.481348276E-1
2.152378850E-1,3.026684523E0,1.222875834E0,-3.210096955E-1
2.252378850E-1,2.039526224E0,1.394528985E0,-3.442225754E-1
2.352378850E-1,1.195310593E0,1.245477915E0,-2.751947939E-1
2.452378850E-1,4.317290187E-1,1.127580881E0,-2.464841306E-1
2.552378850E-1,-1.113301888E-1,1.144074202E0,-1.939497143E-1
2.652378850E-1,-3.361285925E-1,1.188056588E0,-1.261436790E-1
2.752378850E-1,-1.327104717E-1,1.142852545E0,1.316414624E-1
2.852381540E-1,2.686280012E-1,1.004796982E0,3.973678350E-1
2.952381540E-1,5.581781268E-1,8.667414188E-1,5.690209866E-1
3.052381540E-1,7.854200006E-1,6.303365827E-1,8.494081497E-1
3.152381540E-1,9.118691087E-1,3.847687542E-1,1.165225506E0
3.252381540E-1,7.988590002E-1,-1.839468032E-1,1.251968265E0
3.352379200E-1,6.192646623E-1,-5.260313153E-1,1.178053617E0
3.452379200E-1,5.752823353E-1,-5.822309256E-1,1.089478135E0
3.552379200E-1,6.015495658E-1,-2.615266740E-1,9.654725194E-1
3.652379200E-1,6.088799238E-1,1.269836128E-1,7.980954647E-1
3.752379200E-1,7.286095023E-1,2.742021382E-1,5.769622326E-1
3.852379200E-1,8.648324609E-1,3.554472029E-1,3.466660380E-1
3.952379200E-1,8.092437387E-1,5.668066144E-1,5.222897977E-2
4.052379200E-1,6.559165716E-1,8.465828896E-1,-2.996293902E-1
4.152379200E-1,4.989241958E-1,1.072602987E0,-5.995642543E-1
