"Time (s)","X (hPa)"
4.530885000E-3,1.017470459E3
1.065308850E-1,1.017429199E3
2.065308850E-1,1.017391846E3
3.065308850E-1,1.017382080E3
4.065308850E-1,1.017399170E3
5.065308850E-1,1.017423340E3
6.065308850E-1,1.017392822E3
7.065308850E-1,1.017380859E3
8.065308850E-1,1.017380615E3
9.065308850E-1,1.017386230E3
1.006530885E0,1.017375244E3
1.106530885E0,1.017355225E3
1.206530885E0,1.017337158E3
1.306530885E0,1.017349854E3
1.406530885E0,1.017382568E3
1.506530885E0,1.017385986E3
1.606530885E0,1.017370361E3
1.706530885E0,1.017378418E3
1.806530885E0,1.017416748E3
1.906530885E0,1.017409424E3
2.006530885E0,1.017392578E3
2.106530885E0,1.017371094E3
2.206530885E0,1.017398193E3
2.306530885E0,1.017398193E3
2.406530885E0,1.017413818E3
2.506530885E0,1.017395508E3
2.606530885E0,1.017395508E3
2.706530885E0,1.017431641E3
2.806530885E0,1.017429443E3
2.906530885E0,1.017429443E3
3.006530885E0,1.017405518E3
3.106530885E0,1.017390381E3
3.206530885E0,1.017390381E3
3.306530885E0,1.017406006E3
3.406530885E0,1.017385742E3
3.506530885E0,1.017385742E3
3.606530885E0,1.017402832E3
3.706530885E0,1.017398682E3
3.806530885E0,1.017398682E3
3.906530885E0,1.017376953E3
4.006530885E0,1.017378174E3
4.106530885E0,1.017378174E3
4.206530885E0,1.017365723E3
4.306530885E0,1.017369629E3
4.406530885E0,1.017387695E3
4.506530885E0,1.017410156E3
4.606530885E0,1.017429688E3
4.707371344E0,1.017424561E3
4.807371344E0,1.017407715E3
4.907371344E0,1.017401855E3
5.007371344E0,1.017400879E3
5.107371344E0,1.017409668E3
5.207371344E0,1.017425049E3
5.307371344E0,1.017422363E3
5.407371344E0,1.017425781E3
5.507371344E0,1.017423828E3
5.607371344E0,1.017418945E3
5.707371344E0,1.017425537E3
5.807371344E0,1.017423584E3
5.907371344E0,1.017425537E3
6.007371344E0,1.017423828E3
6.107371344E0,1.017425293E3
6.207371344E0,1.017412354E3
6.307371344E0,1.017399902E3
6.407371344E0,1.017437012E3
6.507371344E0,1.017445557E3
6.607371344E0,1.017441895E3
6.707371344E0,1.017403076E3
6.807371344E0,1.017407471E3
6.907371344E0,1.017425049E3
7.007371344E0,1.017437988E3
7.107371344E0,1.017440918E3
7.207371344E0,1.017434570E3
7.307371344E0,1.017448242E3
7.407371344E0,1.017435303E3
7.507371344E0,1.017413330E3
7.607371344E0,1.017385010E3
7.707371344E0,1.017385010E3
7.807371344E0,1.017394043E3
7.907371344E0,1.017418701E3
8.007371344E0,1.017418701E3
8.107371344E0,1.017423340E3
8.207371344E0,1.017429199E3
8.307371344E0,1.017429199E3
8.407371344E0,1.017435303E3
8.507371344E0,1.017377930E3
8.607371344E0,1.017377930E3
8.707371344E0,1.017400391E3
8.807371344E0,1.017386719E3
8.907371344E0,1.017386719E3
9.007371344E0,1.017370605E3
9.107371344E0,1.017383545E3
9.207371344E0,1.017383545E3
9.307371344E0,1.017393555E3
9.407371344E0,1.017384277E3
9.507371344E0,1.017384277E3
9.607371344E0,1.017387207E3
9.707371344E0,1.017406006E3
9.807371344E0,1.017413574E3
9.907371344E0,1.017426758E3
1.000737134E1,1.017428711E3
1.010737134E1,1.017449707E3
1.020737134E1,1.017457764E3
1.030737134E1,1.017458740E3
1.040737134E1,1.017428223E3
1.050737134E1,1.017451660E3
1.060737134E1,1.017439697E3
1.070737134E1,1.017423584E3
1.080737134E1,1.017414062E3
1.090737134E1,1.017416016E3
1.100737134E1,1.017438721E3
1.110737134E1,1.017448486E3
1.120737134E1,1.017433105E3
1.130737134E1,1.017427002E3
1.140737134E1,1.017395264E3
1.150737134E1,1.017391846E3
1.160737134E1,1.017420654E3
1.170737134E1,1.017414062E3
1.180737134E1,1.017424316E3
1.190737134E1,1.017419922E3
1.200737134E1,1.017424316E3
1.210737134E1,1.017420654E3
1.220737134E1,1.017415771E3
1.230737134E1,1.017399902E3
1.240737134E1,1.017406982E3
1.250737134E1,1.017408691E3
1.260737134E1,1.017419434E3
1.270737134E1,1.017403809E3
1.280737134E1,1.017403809E3
1.290737134E1,1.017411377E3
1.300737134E1,1.017391846E3
1.310737134E1,1.017391846E3
1.320737134E1,1.017390869E3
1.330737134E1,1.017399170E3
1.340737134E1,1.017399170E3
1.350737134E1,1.017400146E3
1.360737134E1,1.017419189E3
1.370737134E1,1.017419189E3
1.380737134E1,1.017429932E3
1.390737134E1,1.017414551E3
1.400737134E1,1.017414551E3
1.410737134E1,1.017386963E3
1.420737134E1,1.017363770E3
1.430737134E1,1.017363770E3
1.440737134E1,1.017394775E3
1.450737134E1,1.017380127E3
1.460737134E1,1.017380127E3
1.470737134E1,1.017364258E3
1.480737134E1,1.017402588E3
1.490737134E1,1.017403076E3
1.500737134E1,1.017408203E3
1.510737134E1,1.017395264E3
1.520737134E1,1.017396240E3
1.530737134E1,1.017376709E3
1.540737134E1,1.017371582E3
1.550737134E1,1.017373779E3
1.560737134E1,1.017354004E3
1.570737134E1,1.017382324E3
1.580737134E1,1.017395508E3
1.590737134E1,1.017404541E3
1.600737134E1,1.017393799E3
1.610737134E1,1.017365234E3
1.620737134E1,1.017353516E3
1.630737134E1,1.017359131E3
1.640737134E1,1.017386230E3
1.650737134E1,1.017384766E3
1.660737134E1,1.017375977E3
1.670737134E1,1.017396973E3
1.680737134E1,1.017389893E3
1.690737134E1,1.017374023E3
1.700737134E1,1.017361328E3
1.710737134E1,1.017352051E3
1.720737134E1,1.017355225E3
1.730737134E1,1.017363770E3
1.740737134E1,1.017357666E3
1.750737134E1,1.017337402E3
1.760737134E1,1.017350342E3
1.770737134E1,1.017381836E3
1.780737134E1,1.017378418E3
1.790737134E1,1.017377686E3
1.800737134E1,1.017359131E3
1.810737134E1,1.017359375E3
1.820737134E1,1.017359375E3
1.830737134E1,1.017355469E3
1.840737134E1,1.017346680E3
1.850737134E1,1.017346680E3
1.860737134E1,1.017374268E3
1.870737134E1,1.017374756E3
1.880737134E1,1.017374756E3
1.890737134E1,1.017371094E3
1.900737134E1,1.017347656E3
1.910737134E1,1.017347656E3
1.920737134E1,1.017381592E3
1.930737134E1,1.017375977E3
1.940737134E1,1.017375977E3
1.950737134E1,1.017342529E3
1.960737134E1,1.017325439E3
1.970737134E1,1.017325439E3
1.980737134E1,1.017354248E3
1.990737134E1,1.017345947E3
2.000737134E1,1.017345947E3
2.010737134E1,1.017367676E3
2.020737134E1,1.017369141E3
2.030737134E1,1.017373291E3
2.040737134E1,1.017345459E3
2.050737134E1,1.017360107E3
2.060737134E1,1.017351562E3
2.070737134E1,1.017331299E3
2.080737134E1,1.017308838E3
2.090737134E1,1.017339111E3
2.100737134E1,1.017312988E3
2.110737134E1,1.017320801E3
2.120737134E1,1.017287598E3
2.130737134E1,1.017282471E3
2.140737134E1,1.017308350E3
2.150737134E1,1.017316162E3
2.160737134E1,1.017310791E3
2.170737134E1,1.017301758E3
2.180737134E1,1.017299561E3
2.190737134E1,1.017312500E3
2.200737134E1,1.017348389E3
2.210737158E1,1.017340820E3
2.220737158E1,1.017334473E3
2.230737158E1,1.017334473E3
2.240737158E1,1.017390137E3
2.250737158E1,1.017395020E3
2.260737158E1,1.017366943E3
2.270737158E1,1.017360352E3
2.280737158E1,1.017354736E3
2.290737158E1,1.017345215E3
2.300737158E1,1.017346924E3
2.310737158E1,1.017337891E3
2.320737158E1,1.017332031E3
2.330737158E1,1.017332031E3
2.340737158E1,1.017325439E3
2.350737158E1,1.017321289E3
2.360737158E1,1.017321289E3
2.370737158E1,1.017319824E3
2.380737158E1,1.017359375E3
2.390737158E1,1.017359375E3
2.400737158E1,1.017355225E3
2.410737158E1,1.017347168E3
2.420737158E1,1.017347168E3
2.430737158E1,1.017377930E3
2.440737158E1,1.017371826E3
2.450737158E1,1.017371826E3
2.460737158E1,1.017368652E3
2.470737158E1,1.017371582E3
2.480737158E1,1.017371582E3
2.490737158E1,1.017374756E3
2.500737158E1,1.017340332E3
2.510737134E1,1.017340332E3
2.520737134E1,1.017375488E3
2.530737134E1,1.017375244E3
2.540737134E1,1.017349854E3
2.550737134E1,1.017363037E3
2.560737134E1,1.017383057E3
2.570737134E1,1.017386475E3
2.580737134E1,1.017389404E3
2.590737134E1,1.017368896E3
2.600737134E1,1.017363770E3
2.610737134E1,1.017376465E3
2.620737134E1,1.017346191E3
2.630737134E1,1.017360107E3
2.640737134E1,1.017352783E3
2.650737134E1,1.017336670E3
2.660737134E1,1.017327148E3
2.670737134E1,1.017334961E3
2.680737134E1,1.017338379E3
2.690737134E1,1.017340332E3
2.700737134E1,1.017340332E3
2.710737134E1,1.017373047E3
2.720737134E1,1.017362305E3
2.730737134E1,1.017343262E3
2.740737134E1,1.017341309E3
2.750737134E1,1.017353516E3
2.760737134E1,1.017362549E3
2.770737134E1,1.017386475E3
2.780737134E1,1.017397949E3
2.790737134E1,1.017403076E3
2.800737134E1,1.017400391E3
2.810737134E1,1.017382812E3
2.820737134E1,1.017388184E3
2.830737134E1,1.017384277E3
2.840737134E1,1.017388672E3
2.850737134E1,1.017388184E3
2.860737134E1,1.017402100E3
2.870737134E1,1.017402100E3
2.880737134E1,1.017379395E3
2.890737134E1,1.017387207E3
2.900737134E1,1.017387207E3
2.910737134E1,1.017374512E3
2.920737134E1,1.017363037E3
2.930737134E1,1.017363037E3
2.940737134E1,1.017366211E3
2.950737134E1,1.017392090E3
2.960737134E1,1.017392090E3
2.970737134E1,1.017370117E3
2.980737134E1,1.017401123E3
2.990737134E1,1.017401123E3
3.000737134E1,1.017382080E3
