"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.019629167E-2,-1.320653409E-1,-8.671743274E-1,4.095767438E-1
2.023229166E-2,-2.047651112E-1,-7.473294139E-1,3.148121536E-1
3.026829165E-2,-2.158118933E-1,-6.144150496E-1,2.436154485E-1
4.030429164E-2,-1.757678092E-1,-5.108055472E-1,1.964330226E-1
5.034029169E-2,-1.002129316E-1,-4.419426620E-1,1.808625758E-1
6.037629169E-2,-1.061300747E-2,-4.265272319E-1,1.883444637E-1
7.041229168E-2,7.952149957E-2,-4.339535534E-1,2.163581848E-1
8.044829167E-2,1.640568823E-1,-4.230718911E-1,2.454923540E-1
9.048429166E-2,2.430750430E-1,-3.737563789E-1,2.708758712E-1
1.005202917E-1,3.033647239E-1,-2.736638486E-1,2.874532640E-1
1.105562916E-1,3.296682239E-1,-1.449516416E-1,2.982275486E-1
1.205922917E-1,3.118775189E-1,-3.433617949E-2,3.055121005E-1
1.306282917E-1,2.436212003E-1,3.691082448E-2,3.073970079E-1
1.406642917E-1,1.307138205E-1,8.263170719E-2,2.989310920E-1
1.507002917E-1,-1.168931834E-2,1.331018358E-1,2.827916443E-1
1.607362917E-1,-1.605586857E-1,2.043323368E-1,2.658539414E-1
1.707722917E-1,-3.024533689E-1,3.344424665E-1,2.605612874E-1
1.808082917E-1,-4.146110415E-1,5.269572735E-1,2.786393464E-1
1.908442916E-1,-5.041490793E-1,7.331050038E-1,3.220281303E-1
2.008802917E-1,-5.722599626E-1,8.678699732E-1,3.868340254E-1
2.109162917E-1,-6.193233728E-1,8.694900870E-1,4.473760426E-1
2.209522917E-1,-6.644948125E-1,7.504816651E-1,4.636450410E-1
2.309872917E-1,-7.184585333E-1,5.478544235E-1,4.081426859E-1
2.410232917E-1,-8.023664355E-1,2.631447017E-1,3.005970418E-1
2.510592917E-1,-8.624603748E-1,-1.073394045E-1,2.251953036E-1
2.610952917E-1,-8.320992589E-1,-3.663424551E-1,1.448152363E-1
2.711312917E-1,-7.657041550E-1,-4.124945402E-1,1.146216691E-2
2.811672917E-1,-6.877901554E-1,-2.548026443E-1,-1.892416328E-1
2.912032917E-1,-6.305467486E-1,-2.713622991E-3,-4.228961766E-1
3.012392917E-1,-6.105813384E-1,2.598975003E-1,-6.141604185E-1
3.112752917E-1,-6.122277975E-1,5.334953070E-1,-6.942535639E-1
3.213112917E-1,-6.398974657E-1,7.295023799E-1,-6.628953218E-1
3.313472916E-1,-7.006610036E-1,7.906852365E-1,-5.572205782E-1
3.413832917E-1,-7.894992828E-1,7.615353465E-1,-4.247267246E-1
3.514192917E-1,-8.899760842E-1,6.656126976E-1,-3.187360168E-1
3.614552917E-1,-9.771448374E-1,5.251479745E-1,-2.769451737E-1
3.714912917E-1,-1.032194376E0,3.699378967E-1,-3.104603589E-1
3.815272917E-1,-1.045088053E0,2.052006125E-1,-4.245901406E-1
3.915632917E-1,-1.016830802E0,4.695546627E-2,-5.935112834E-1
4.015992917E-1,-9.311719537E-1,-5.324570462E-2,-7.737710476E-1
4.116352916E-1,-7.606475949E-1,-7.035751641E-2,-9.058166742E-1
4.216712917E-1,-4.998817146E-1,2.470055781E-2,-9.694768786E-1
4.317072917E-1,-1.545272022E-1,2.065052539E-1,-9.437197447E-1
4.417428334E-1,2.316340804E-1,3.931467831E-1,-8.210364580E-1
4.517788333E-1,6.252620220E-1,5.326023698E-1,-6.063057184E-1
4.618148333E-1,9.873669744E-1,5.721689463E-1,-3.385888040E-1
4.718508333E-1,1.299706578E0,5.000903606E-1,-6.567148119E-2
4.818868333E-1,1.565680504E0,3.811600208E-1,2.020776719E-1
4.919228333E-1,1.784927130E0,1.600342989E-1,3.889216781E-1
5.019588334E-1,1.945006251E0,-1.055377200E-1,4.385398328E-1
5.119938334E-1,2.051687956E0,-3.334497213E-1,3.536409140E-1
5.220298333E-1,2.102277517E0,-4.813129008E-1,1.727084965E-1
5.320658333E-1,2.096891165E0,-5.003932118E-1,-6.019949168E-2
5.421018333E-1,2.031220913E0,-4.133344889E-1,-3.013891876E-1
5.521378333E-1,1.914631724E0,-2.527697384E-1,-5.121493936E-1
5.621738333E-1,1.749794126E0,-5.786789581E-2,-6.725915074E-1
5.722098334E-1,1.547705054E0,1.280422807E-1,-7.798382640E-1
5.822458334E-1,1.314007044E0,2.934871614E-1,-8.365452290E-1
5.922818333E-1,1.054908872E0,4.192440808E-1,-8.490292430E-1
6.023178333E-1,7.866974473E-1,4.906346500E-1,-8.231811523E-1
6.123538333E-1,5.207490325E-1,5.133152008E-1,-7.784470320E-1
6.223898333E-1,2.796924412E-1,4.831029773E-1,-7.305585742E-1
6.324258333E-1,7.697032392E-2,4.235801101E-1,-7.001981139E-1
6.424618333E-1,-7.565677166E-2,3.546622992E-1,-7.070112824E-1
6.524978334E-1,-1.837684214E-1,2.782907188E-1,-7.520233989E-1
6.625338334E-1,-2.569784522E-1,1.820472479E-1,-8.278816938E-1
6.725698333E-1,-3.037871122E-1,6.936688721E-2,-9.213082790E-1
6.826058333E-1,-3.368438780E-1,-5.608957633E-2,-1.025792122E0
6.926418333E-1,-3.646921813E-1,-1.755751669E-1,-1.129044414E0
7.026778333E-1,-3.908950388E-1,-2.592932284E-1,-1.217244267E0
7.127138333E-1,-4.259240031E-1,-3.008106351E-1,-1.285501719E0
7.227488334E-1,-4.719439745E-1,-3.057358861E-1,-1.318858862E0
7.327848334E-1,-5.269868970E-1,-2.650347352E-1,-1.311711550E0
7.428208333E-1,-5.840424895E-1,-1.705708355E-1,-1.249878764E0
7.528568333E-1,-6.344817281E-1,-3.499700129E-2,-1.143895507E0
7.628928333E-1,-6.857278347E-1,1.103178486E-1,-1.011644721E0
7.729288333E-1,-7.323413491E-1,2.534233630E-1,-8.547633886E-1
7.829648333E-1,-7.782585025E-1,3.844130635E-1,-6.789726615E-1
7.930008334E-1,-8.268964291E-1,4.872511625E-1,-4.950565696E-1
8.030368334E-1,-8.798975945E-1,5.204996467E-1,-3.102329373E-1
8.130728333E-1,-9.342566729E-1,4.683859050E-1,-1.406969279E-1
8.231088333E-1,-9.787114859E-1,3.389027417E-1,-5.053344183E-3
8.331448333E-1,-1.002985597E0,1.417764127E-1,8.061592281E-2
8.431808333E-1,-1.009894133E0,-1.119836941E-1,1.082198545E-1
8.532168333E-1,-9.883018732E-1,-3.906865716E-1,8.733224869E-2
8.632528333E-1,-9.394424558E-1,-6.109299660E-1,4.736939445E-2
8.732888334E-1,-8.309201002E-1,-6.588436961E-1,2.899854630E-2
8.833248334E-1,-6.479340792E-1,-4.823961854E-1,5.303384364E-2
8.933608333E-1,-4.122320116E-1,-1.395933181E-1,1.303965747E-1
9.033968333E-1,-1.768219024E-1,2.168566883E-1,2.586581707E-1
9.134318333E-1,5.410403945E-3,4.430911541E-1,4.167914391E-1
9.234678333E-1,1.075090766E-1,4.891580045E-1,5.559674501E-1
9.335038334E-1,1.253828406E-1,3.858153522E-1,6.336200833E-1
