"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.019629167E-2,9.246171413E-1,-1.315055903E0,-2.525273277E0
2.023229166E-2,9.626001426E-1,-1.436402877E0,-2.038450474E0
3.026829165E-2,8.821253521E-1,-1.649373382E0,-1.808692321E0
4.030429164E-2,7.063234048E-1,-1.886799573E0,-1.841040287E0
5.034029169E-2,4.467721532E-1,-2.131654214E0,-1.997792444E0
6.037629169E-2,1.486918435E-1,-2.334664717E0,-2.155505884E0
7.041229168E-2,-1.567574928E-1,-2.443274994E0,-2.264709068E0
8.044829167E-2,-3.311704340E-1,-2.510417840E0,-2.258108731E0
9.048429166E-2,-3.936135077E-1,-2.477943867E0,-2.132181340E0
1.005202917E-1,-4.281734028E-1,-2.405926196E0,-2.020009525E0
1.105562916E-1,-4.625181203E-1,-2.366654396E0,-2.007448536E0
1.205922917E-1,-4.317175464E-1,-2.308549737E0,-2.146591219E0
1.306282917E-1,-3.659547890E-1,-2.173069604E0,-2.250505596E0
1.406642917E-1,-2.967331112E-1,-1.931023235E0,-2.264582768E0
1.507002917E-1,-2.715634060E-1,-1.703315116E0,-2.133125666E0
1.607362917E-1,-2.150951634E-1,-1.514362050E0,-1.852348802E0
1.707722917E-1,-1.840683753E-1,-1.368773543E0,-1.354748411E0
1.808082917E-1,-1.995989455E-1,-1.388492108E0,-7.692883426E-1
1.908442916E-1,-3.180370760E-1,-1.471208575E0,-3.348337877E-1
2.008802917E-1,-4.491338436E-1,-1.455229304E0,-1.276745385E-1
2.109162917E-1,-5.004036923E-1,-1.258410563E0,-1.609586442E-1
2.209522917E-1,-4.177801962E-1,-8.204222435E-1,-2.185952336E-1
2.309872917E-1,-2.697297923E-1,-2.842732063E-1,-1.163268471E-1
2.410232917E-1,-1.897910453E-1,-3.121682256E-2,6.053797781E-2
2.510592917E-1,-3.278715811E-1,-3.956946780E-1,4.777537715E-1
2.610952917E-1,-1.652578826E-1,2.906263523E-2,1.614756550E0
2.711312917E-1,1.879528999E-2,8.846997350E-1,3.309053943E0
2.811672917E-1,2.310693911E-1,1.424630240E0,4.649866685E0
2.912032917E-1,4.751948107E-1,1.454170665E0,5.388263018E0
3.012392917E-1,5.245468457E-1,1.254497606E0,5.416793922E0
3.112752917E-1,1.939772862E-1,1.001259886E0,5.073471147E0
3.213112917E-1,-2.520744170E-1,7.287303738E-1,4.369300906E0
3.313472916E-1,-5.852487648E-1,4.551872467E-1,3.437679239E0
3.413832917E-1,-7.539179861E-1,4.134959779E-1,2.749925641E0
3.514192917E-1,-7.737105918E-1,7.409277387E-1,2.378093596E0
3.614552917E-1,-7.073934453E-1,1.283213136E0,2.357710787E0
3.714912917E-1,-5.191837064E-1,1.915868714E0,2.682588521E0
3.815272917E-1,-2.377903635E-1,2.481261577E0,3.208563695E0
3.915632917E-1,4.333901424E-2,2.858347345E0,3.872195190E0
4.015992917E-1,1.755425136E-1,3.036911955E0,4.720746633E0
4.116352916E-1,2.194386579E-1,2.934385122E0,5.510345280E0
4.216712917E-1,1.695644300E-1,2.535680151E0,6.090529990E0
4.317072917E-1,8.230244737E-2,1.861728467E0,6.144679300E0
4.417428334E-1,3.185088001E-3,9.374416202E-1,5.405291864E0
4.517788333E-1,-7.440105004E-2,1.453097318E-1,4.241909958E0
4.618148333E-1,-2.945936881E-2,-3.758513842E-1,2.871164149E0
4.718508333E-1,1.859142865E-1,-7.625905763E-1,1.495193269E0
4.818868333E-1,4.821396584E-1,-8.947679094E-1,4.695442808E-1
4.919228333E-1,1.056677092E0,-8.060576811E-1,-2.604823476E-1
5.019588334E-1,1.754109440E0,-4.622680056E-1,-6.832769698E-1
