"Time (s)","X (hPa)"
-5.617725000E-1,1.018177795E3
4.435265000E-1,1.018183746E3
1.448775500E0,1.018189621E3
2.454027500E0,1.018192368E3
3.459275500E0,1.018193283E3
3.811044500E0,1.018192368E3
4.883344500E0,1.018173141E3
5.955611500E0,1.018163605E3
7.027865500E0,1.018159256E3
8.100146500E0,1.018148956E3
9.172447500E0,1.018148956E3
1.024470550E1,1.018153992E3
1.131695350E1,1.018161926E3
1.238919850E1,1.018162155E3
1.346147650E1,1.018167725E3
1.453375450E1,1.018171616E3
1.560602250E1,1.018171844E3
1.667827250E1,1.018171844E3
1.775052950E1,1.018163223E3
1.882275850E1,1.018160095E3
1.989500550E1,1.018156128E3
2.096720950E1,1.018156128E3
2.203947750E1,1.018156891E3
2.311175950E1,1.018162842E3
2.418400350E1,1.018164978E3
2.525626650E1,1.018166580E3
2.632848150E1,1.018167038E3
2.740073750E1,1.018167038E3
2.847294350E1,1.018165359E3
2.954516150E1,1.018164444E3
3.061737950E1,1.018162842E3
3.168963850E1,1.018160477E3
3.276190150E1,1.018158798E3
3.383411550E1,1.018157501E3
3.490631850E1,1.018157120E3
3.597851950E1,1.018156509E3
3.705066250E1,1.018156509E3
3.812288350E1,1.018154373E3
3.919512450E1,1.018152542E3
4.026729350E1,1.018148575E3
4.133949250E1,1.018144989E3
4.241176950E1,1.018142014E3
4.348398950E1,1.018138046E3
4.455618650E1,1.018136139E3
4.562835250E1,1.018132477E3
4.670057050E1,1.018127289E3
4.777284650E1,1.018119431E3
4.884515750E1,1.018119431E3
4.991748650E1,1.018119659E3
5.098978350E1,1.018128128E3
5.206209150E1,1.018135681E3
5.313436850E1,1.018142166E3
5.420668650E1,1.018142166E3
5.527898950E1,1.018141708E3
5.635132250E1,1.018136902E3
5.742364750E1,1.018132477E3
5.849595250E1,1.018129349E3
5.956828650E1,1.018126450E3
6.064057250E1,1.018122635E3
6.171283750E1,1.018119812E3
6.278514150E1,1.018116150E3
6.385743050E1,1.018113708E3
6.492971350E1,1.018113327E3
6.600196650E1,1.018112869E3
6.707421150E1,1.018113327E3
6.814646150E1,1.018115692E3
6.921872550E1,1.018123093E3
7.029096550E1,1.018131866E3
7.136323850E1,1.018138046E3
7.243547950E1,1.018146210E3
7.350770150E1,1.018152084E3
7.457999550E1,1.018156052E3
7.565228750E1,1.018159027E3
7.672458750E1,1.018160553E3
7.779686650E1,1.018160782E3
7.886913950E1,1.018160782E3
7.994143350E1,1.018156357E3
8.101368950E1,1.018153763E3
8.208598850E1,1.018152313E3
8.315824950E1,1.018149796E3
8.423051850E1,1.018148270E3
8.530278450E1,1.018148041E3
8.637507250E1,1.018144989E3
8.744733050E1,1.018141937E3
8.851957950E1,1.018139725E3
8.959187350E1,1.018139191E3
9.066418050E1,1.018137589E3
9.173645150E1,1.018137589E3
9.280871650E1,1.018138199E3
9.388098850E1,1.018138885E3
9.495327150E1,1.018139725E3
9.602551550E1,1.018139725E3
9.709785850E1,1.018139725E3
9.817019550E1,1.018135910E3
9.924247150E1,1.018134995E3
1.003147335E2,1.018133087E3
1.013870135E2,1.018133087E3
1.024592625E2,1.018133774E3
1.035315595E2,1.018133774E3
1.046038605E2,1.018132706E3
1.056761745E2,1.018130188E3
1.067484945E2,1.018127823E3
1.078208305E2,1.018124084E3
1.088930935E2,1.018118973E3
1.099654455E2,1.018114471E3
1.110377935E2,1.018112259E3
1.121101015E2,1.018110428E3
1.131824275E2,1.018108978E3
1.142547015E2,1.018107834E3
1.153269965E2,1.018107681E3
1.163993055E2,1.018107452E3
1.174716145E2,1.018106384E3
1.185439345E2,1.018104935E3
1.196162365E2,1.018104935E3
1.206885725E2,1.018107147E3
1.217608905E2,1.018107147E3
1.228331885E2,1.018109589E3
1.239055165E2,1.018110580E3
1.249778085E2,1.018111725E3
1.260501085E2,1.018112106E3
1.271223925E2,1.018117142E3
1.281947175E2,1.018120880E3
1.292670365E2,1.018124542E3
1.303393725E2,1.018130188E3
1.314116715E2,1.018133392E3
1.324839445E2,1.018136749E3
1.335561885E2,1.018140106E3
1.346284325E2,1.018141403E3
1.357006645E2,1.018142014E3
1.367729165E2,1.018143005E3
1.378451915E2,1.018145752E3
1.389174505E2,1.018148346E3
1.399896715E2,1.018151627E3
1.410619265E2,1.018153381E3
1.421341605E2,1.018153381E3
1.432064155E2,1.018153381E3
1.442786895E2,1.018151398E3
1.453509815E2,1.018149338E3
1.464232635E2,1.018146973E3
1.474955225E2,1.018139267E3
1.485677945E2,1.018128967E3
1.496400125E2,1.018122406E3
1.507122735E2,1.018120270E3
1.517845415E2,1.018119278E3
1.528567815E2,1.018119278E3
1.539290405E2,1.018127060E3
1.550013735E2,1.018131866E3
1.560736915E2,1.018132706E3
1.571459785E2,1.018133774E3
1.582182235E2,1.018137207E3
1.592905085E2,1.018138046E3
1.603627775E2,1.018138046E3
1.614349905E2,1.018137360E3
1.625072455E2,1.018137360E3
1.635795135E2,1.018137360E3
1.646517865E2,1.018138657E3
1.657240645E2,1.018138657E3
1.667963535E2,1.018144760E3
1.678686335E2,1.018151474E3
1.689408725E2,1.018151474E3
1.700131525E2,1.018151245E3
1.710854455E2,1.018149719E3
1.721576895E2,1.018144989E3
1.732299765E2,1.018138580E3
1.743022505E2,1.018130341E3
1.753745165E2,1.018124084E3
1.764468215E2,1.018117981E3
