,session,person,label,predicted
2026-06-12 15:55:12.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:17.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:22.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:27.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:55:32.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:37.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:42.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:47.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:55:52.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:55:57.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:02.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:07.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:56:12.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:56:17.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:56:22.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:27.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:32.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:37.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:56:42.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:56:47.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:52.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:56:57.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:57:02.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:07.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:12.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:17.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:22.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:57:27.804542991,martina_standing_s1,martina,standing,bus
2026-06-12 15:57:32.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:37.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:42.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:47.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:52.804542991,martina_standing_s1,martina,standing,tram
2026-06-12 15:57:57.804542991,martina_standing_s1,martina,standing,tram
2026-06-14 11:38:59.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:04.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:09.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:14.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:19.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:24.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:29.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:34.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:39.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:44.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:49.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:54.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:39:59.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:40:04.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:40:09.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:40:14.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:40:19.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:40:24.054542991,matei_walking_s4,matei,walking,walking
2026-06-14 11:40:29.054542991,matei_walking_s4,matei,walking,walking
